	Entity	Tag	Reference
0	ABASCIA (Abyssinia)	Location	Murray
1	Abacan	Person	Yule
2	Abaji	Person	Yule
3	Abaka (Abaga)	Person	Yule
4	Abano	Person	Yule
5	Abash (Habsh)	FALSE	Yule
6	Abba Gregory	FALSE	Yule
7	Abbott	Person	Yule
8	Abdul Kuri islands	Location	Yule
10	Abher	FALSE	Yule
11	Abnús	 	Yule
12	Abraha	Person	Yule
13	Abraiaman	Organization	Yule
	Abraiamain (Bramins)		
14	Abubakr	Person	Yule
15	Abulfeda	Person	Yule
16	Abyssinia (Abash)	Person	Yule
17	Acbalec Manzi	Location	Yule
18	Accambale	Person	Yule
19	Achalech-Manji	Location	Murray
20	Acheh	FALSE	Yule
21	Achin	FALSE	Yule
22	Achmac	Person	Murray
23	Achmath(Ahmad)	Person	Yule
24	Acomat	Person	Murray
25	Acomat Soldan (Ahmad Sultan)	Person	Yule
26	Acorn bread	FALSE	Yule
27	Acqui	Person	Yule
28	Acre	Location	Murray,Yule
30	Adam	Location	Yule
31	Adam's Peak	Location	Murray
32	Adamodana	FALSE	Yule
33	Adel	FALSE	Yule
34	Aden	Location	Murray,Yule
35	Aden(Adel)	Location	Murray
36	Adoration of the Emperor	FALSE	Yule
37	Adulis	FALSE	Yule
38	Aepyornis and its eggs	FALSE	Yule
39	Africa	Location	Yule
40	Agathou Daimonos	Location	Yule
41	Aghrukji or Ukuruji	Person	Yule
42	Agricola	Person	Yule
43	Aguil	Person	Yule
44	Ahmad of Fenaket	Person	Yule
45	Ahmadi	Location	Yule
46	Aidhab	FALSE	Yule
47	Aidhej	FALSE	Yule
48	Aijaruc	Person	Yule
49	Aikah Nowin	Person	Yule
50	Ajmir	FALSE	Yule
51	Ak-Bulak salt-mines	Location	Yule
52	Ak-khoja	FALSE	Yule
53	Akaas of Bolor	FALSE	Yule
54	Akbar and Kublai	Person	Yule
55	AkhaltzikÃ© 	 	Yule
56	Akhtuba River	Location	Yule
57	Aktar	FALSE	Yule
58	Al Biruni	FALSE	Yule
59	Alabastri	FALSE	Yule
60	Alacou	FALSE	Yule
61	Alacou(Hukalu)	FALSE	Yule
62	Alamut	Location	Yule
63	Alania	FALSE	Yule
64	Alans	Person	Yule
65	Alaodin	Person	Murray
66	Alaone	FALSE	Yule
67	Alarm Tower	Location	Yule
68	Alau	Person	Murray,Yule
69	Alauddin (Alaodin)	Person	Yule
70	Albenigaras	FALSE	Yule
71	Alboquerque	FALSE	Yule
72	Alchemy	FALSE	Yule
73	Alexander III	Person	Yule
74	Alexander IV	Person	Yule
75	Alexander the Great	Person	Yule
76	Alexandria	Location	Yule
77	Alidada	FALSE	Yule
78	Alihaiya	Person	Yule
79	Alinak	FALSE	Yule
80	Alligator	FALSE	Yule
81	Almalik	FALSE	Yule
82	Almanacs	FALSE	Yule
83	Almonds	FALSE	Yule
84	Aloes	FALSE	Yule
85	Altai (Altay) Mountains	Location	Yule
86	Altai Mountains	Location	Murray
87	Altun-Khan	Location	Yule
88	Alï¿½Ramni	 	Yule
89	Amazons	Location	Yule
90	Ambergris	FALSE	Yule
91	Amda Zion	Person	Yule
92	Ameri	FALSE	Yule
93	Amhara	FALSE	Yule
