Entity Name,Alternative Name,Tag,Reference,
ABASCIA,Abyssinia,Location,Murray,
Abacan,,Person,Yule,
Abaji,,Person,Yule,
Abaka,Abaga,Person,Yule,
Abano,,Person,Yule,
Abash,Habsh,Location,Yule,
Abba Gregory,,FALSE,Yule,
Abbott,,Person,Yule,
Abdul Kuri islands,,Location,Yule,
Abher,,FALSE,Yule,
Abnús,,FALSE,Yule,
Abraha,,Person,Yule,
Abraiaman,,Person,Yule,
Abraiamain ,Bramins,Person,,
Abubakr,,Person,Yule,
Abulfeda,,Person,Yule,
Abyssinia,Abash,Person,Yule,
Acbalec Manzi,,Location,Yule,
Accambale,,Person,Yule,
Achalech-Manji,,Location,Murray,
Achin,"Acheh,Achem",FALSE,Yule,
Achmac,,Person,Murray,
Achmath,Ahmad,Person,Yule,
Acomat,,Person,Murray,
Acomat Soldan,Ahmad Sultan,Person,Yule,
Acorn bread,,FALSE,Yule,
Acqui,,Person,Yule,
Acre,,Location,Murray,Yule
Adam,,Person,Yule,
Adam's Peak,,Location,Murray,
Adamodana,,FALSE,Yule,
Adel,,FALSE,Yule,
Aden,,Location,Murray,Yule
Aden,Adel,Location,Murray,
Adoration of the Emperor,,FALSE,Yule,
Adulis,,FALSE,Yule,
Aepyornis and its eggs,,FALSE,Yule,
Africa,,Location,Yule,
Agathou Daimonos,,Location,Yule,
Aghrukji or Ukuruji,,Person,Yule,
Agricola,,Person,Yule,
Aguil,,Person,Yule,
Ahmad of Fenaket,,Person,Yule,
Ahmadi,,Location,Yule,
Aidhab,,FALSE,Yule,
Aidhej,,FALSE,Yule,
Aijaruc,,Person,Yule,
Aikah Nowin,,Person,Yule,
Ajmir,,FALSE,Yule,
Ak-Bulak salt-mines,,Location,Yule,
Ak-khoja,,FALSE,Yule,
Akaas of Bolor,,FALSE,Yule,
Akbar and Kublai,,Person,Yule,
AkhaltzikÃ© ,, ,Yule,
Akhtuba,,Location,Yule,
Aktar,,FALSE,Yule,
Al Biruni,,FALSE,Yule,
Alabastri,,FALSE,Yule,
Alacou,,FALSE,Yule,
Alacou,Hukalu,FALSE,Yule,
Alamut,,Location,Yule,
Alania,,FALSE,Yule,
Alans,,Person,Yule,
Alaodin,,Person,Murray,
Alaone,,FALSE,Yule,
Alarm Tower,,Location,Yule,
Alau,,Person,Murray,Yule
Alauddin,Alaodin,Person,Yule,
Albenigaras,,FALSE,Yule,
Alboquerque,,FALSE,Yule,
Alchemy,,FALSE,Yule,
Alexander III,,Person,Yule,
Alexander IV,,Person,Yule,
Alexander the Great,,Person,Yule,
Alexandria,,Location,Yule,
Alidada,,FALSE,Yule,
Alihaiya,,Person,Yule,
Alinak,,FALSE,Yule,
Alligator,,FALSE,Yule,
Almalik,,FALSE,Yule,
Almanacs,,FALSE,Yule,
Almonds,,FALSE,Yule,
Aloes,,FALSE,Yule,
Altai,Altay,Location,Yule,
Altai Mountains,,Location,Murray,
Altun-Khan,,Location,Yule,
Alï¿½Ramni,, ,Yule,
Amazons,,Location,Yule,
Ambergris,,FALSE,Yule,
Amda Zion,,Person,Yule,
Ameri,,FALSE,Yule,
Amhara,,FALSE,Yule,
Amien,,FALSE,Yule,
Amita Buddha,,FALSE,Yule,
Amphora,,FALSE,Yule,
Amu,Bamoo,Location,Murray,
Ananda,,Person,Yule,
Anaurahta,,Person,Yule,
Ancestor Worship,,FALSE,Yule,
Anchors,,FALSE,Yule,
Andaine,,FALSE,Yule,
Andaman ,,FALSE,Yule,
Andragiri,,FALSE,Yule,
Andreas,,Person,Yule,
Andrew,,Person,Yule,
Andromeda ovalifolia,,FALSE,Yule,
Andun,,FALSE,Yule,
Angaman,Andaman,Location,Murray,
Angamanain,Andaman,Location,Yule,
Angelic French,,FALSE,Yule,
Animal Patterns,,FALSE,Yule,
Anin,,Location,Yule,
Annals of the Indoï¿½Chinese States,, ,Yule,
Antarctic,,FALSE,Yule,
Anthropoides Virgo,,FALSE,Yule,
Antongil Bay,,FALSE,Yule,
Anï¿½r,, ,Yule,
Apostoille,,FALSE,Yule,
Apples of Paradise ,,FALSE,Yule,
Apushka,Apusca,FALSE,Yule,
Arab Seamen's Traditions about Java,,Person,Yule,
Arabadni,,FALSE,Yule,
Arabi ,,Organization,Yule,
Arabia,,FALSE,Yule,
Arachoti,,FALSE,Yule,
Araines,,FALSE,Yule,
Arakan,,FALSE,Yule,
Aram,Harï¿½mi, ,Yule,
Ararat,,Location,Murray,Yule
Arblasts,,FALSE,Yule,
Arbre Sec,,FALSE,Yule,
Arbre Sol ,Arbre Sec,Location,Yule,
Arcali,,FALSE,Yule,
Archbishop of Socotra,,FALSE,Yule,
Architectural remains in Indoï¿½China,, ,Yule,
Areca,,FALSE,Yule,
Areng Saccharifera,,FALSE,Yule,
Argaeus,,FALSE,Yule,
Argali,,FALSE,Yule,
Arghun Khan,Argon, Person,Yule,
Argiron,Erzeroum,Location,Murray,
Argon,,Person,Murray,
Argons,"Half-breeds,Arghï¿½n", ,Yule,
Arii,,FALSE,Yule,
Arikbuga,,Person,Yule,
Arimaspia,,FALSE,Yule,
Ariora Keshimur,,FALSE,Yule,
Aripo,,FALSE,Yule,
Arjish,Arzizi,FALSE,Yule,
Arkasun Noian,,FALSE,Yule,
Arkhaiun,,FALSE,Yule,
Armenia,,Location,Yule,
Armenia the Greater,great Armenia,Location,Murray,
Armenia the Lesser,lesser Armenia,Location,Murray,
