Entity Name	Type
A·s	"Asu, see Alans"
Acrea	a Tartar general
Acre	see Ava
Abaji	son of Kublai
Abaka (Abaga)	Khan of Persia
Abano	"Pietro of, his notice of Polo"
Abash (Habsh)	see Abyssinia
Abba Gregory	
Abb·s	Sh·h
Abbott	Consul Keith E.
Abdul Kuri islands	DASH Mejid
Abeskun (Baxon	on the Caspian
Abher	
Abnús	the word
Abraha	ruler of Yemen
Abraiaman	emplyed as shark-charmers
Abraiaman	high character
Abraiaman	distinctive thread
Abraiaman	their king
Abraiaman	their head to omens 
Abraiaman	longetivity
Abraiaman	the word
Abubakr	Atabeg of Fars
Abubakr	"DASH Ibrahim, and Mahomed, engineers employed by Kublai"
Abulfeda	his geography
Abulfeda	at the siege of Acre
Abyssinia (Abash)	outrage by Soldan of Aden causes the the king of to attack the latter
Abyssinia (Abash)	his vengeance
Abyssinia (Abash)	further particulars regarding
Abyssinia (Abash)	dominion on the coast
Abyssinia (Abash)	mediaeval history and chronology
Abyssinia (Abash)	table of Reigns
Abyssinia (Abash)	wars with Mahomedan states
Abyssinia (Abash)	curious account of kings
Acbalec Manzi	“White City of the Manzi frontier”
Acbalec Manzi	"DASH, or Acbaluc (Chingtingfu)"
Accambale	king of Champa
Acheh	"Achem,see next word"
Achin	its gold of
Achin	Lign-aloes
Achin	conversion of
Achin	its great power at one time
Achin	elephants at
Achin	DASH Head
Achmath(Ahmad)	the Bailo
Achmath(Ahmad)	his power
Achmath(Ahmad)	oppressive malversations
Achmath(Ahmad)	death
Achmath(Ahmad)	post-humous condemnation
Acomat Soldan (Ahmad Sultan)	seizes throne of Tabriz
Acomat Soldan (Ahmad Sultan)	goes to encounter Argon
Acomat Soldan (Ahmad Sultan)	rejects his remonstrance
Acomat Soldan (Ahmad Sultan)	defeats and takes him
Acomat Soldan (Ahmad Sultan)	"hears of Argon’s escape, is taken and put to death"
Acomat Soldan (Ahmad Sultan)	notes on the history
Acorn bread	
Acqui	"Friar Jacopo d’, his notice of Polo"
Acre	"Broils at, between Venetians and Genoese"
Acre	plan of
Acre	captured by Saracens
Acre	wickedness of
Acre	Polos at
Adam	"Legend of,Seth, and the Tree of Life"
Adam	DASH 's Apple
Adam	DASH 's Sepulchre on Mountain in Ceylon(Adam's peak)
Adam	"DASH 's teeth,hair"
Adam	the Footmark
Adam	the Peak
Adamodana	
Adel	apparently confused with Aden
Aden	Horse and other Trade with India
Aden	the Soldan’s treatment of a bishop
Aden	Vengeance of King of Abyssinia on him
Aden	confused with Adel
Aden	account of Kingdom
Aden	the Sultan
Aden	intercourse and trade with China
Aden	Tanks
Adoration of the Emperor	
Adulis	inscription of
Aepyornis and its eggs	
Aëtius	his prescription of musk
Aëtius	of camphor
Africa	Sea surrounding to the South
Agathou Daimonos	Island
Aghrukji or Ukuruji	son of Kublai
Agricola	"Governor of Cappadocia, etc"
Aguil	Mongol general
Ahmad of Fenaket	Kublai's oppressive minister
Ahmad of Fenaket	"DASH Sultan, Khan of Persia, see Acomat"
Ahmad of Fenaket	Shah Durani
Ahmadi	province
Aidhab	
Aidhej	
Aijaruc	Kaidu’s daughter
Aijaruc	her strength and prowess
