Entity Name	Type	Tag
 Angamanain (Andaman island)	described	Location
 Angamanain (Andaman island)	form of the word	Location
Aëtius	his prescription of musk	Person
Aëtius	of camphor	Person
A·s	"Asu, see Alans"	FALSE
Abaji	son of Kublai	Person
Abaka (Abaga)	Khan of Persia	Person
Abano	"Pietro of, his notice of Polo"	Person
Abash (Habsh)	see Abyssinia	FALSE
Abba Gregory		FALSE
Abb·s	Sh·h	FALSE
Abbott	Consul Keith E.	FALSE
Abdul Kuri islands	DASH Mejid	Location
Abeskun (Baxon	on the Caspian	FALSE
Abher		FALSE
Abnús	the word	FALSE
Abraha	ruler of Yemen	Person
Abraiaman	emplyed as shark-charmers	Organization
Abraiaman	high character	Organization
Abraiaman	distinctive thread	Organization
Abraiaman	their king	Organization
Abraiaman	their head to omens 	Organization
Abraiaman	longetivity	Organization
Abraiaman	the word	Organization
Abubakr	Atabeg of Fars	Person
Abubakr	"DASH Ibrahim, and Mahomed, engineers employed by Kublai"	Person
Abulfeda	his geography	Person
Abulfeda	at the siege of Acre	Person
Abyssinia (Abash)	outrage by Soldan of Aden causes the the king of to attack the latter	Person
Abyssinia (Abash)	his vengeance	Person
Abyssinia (Abash)	mediaeval history and chronology	Person
Abyssinia (Abash)	further particulars regarding	Person
Abyssinia (Abash)	dominion on the coast	FALSE
Abyssinia (Abash)	table of Reigns	FALSE
Abyssinia (Abash)	wars with Mahomedan states	FALSE
Abyssinia (Abash)	curious account of kings	FALSE
Acbalec Manzi	White City of the Manzi frontier	Location
Acbalec Manzi	"DASH, or Acbaluc (Chingtingfu)"	Location
Accambale	king of Champa	Person
Acheh	"Achem,see next word"	FALSE
Achin	its gold of	FALSE
Achin	Lign-aloes	FALSE
Achin	conversion of	FALSE
Achin	its great power at one time	FALSE
Achin	elephants at	FALSE
Achin	DASH Head	FALSE
Achmath(Ahmad)	his power	Person
Achmath(Ahmad)	the Bailo	FALSE
Achmath(Ahmad)	oppressive malversations	FALSE
Achmath(Ahmad)	death	FALSE
Achmath(Ahmad)	post-humous condemnation	FALSE
Acomat Soldan (Ahmad Sultan)	rejects his remonstrance	Person
Acomat Soldan (Ahmad Sultan)	notes on the history	Person
Acomat Soldan (Ahmad Sultan)	seizes throne of Tabriz	FALSE
Acomat Soldan (Ahmad Sultan)	goes to encounter Argon	FALSE
Acomat Soldan (Ahmad Sultan)	defeats and takes him	FALSE
Acomat Soldan (Ahmad Sultan)	"hears of Argon’s escape, is taken and put to death"	FALSE
Acorn bread		FALSE
Acqui	"Friar Jacopo d’, his notice of Polo"	Person
Acre	Polos at	FALSE
Acre	see Ava	FALSE
Acre	"Broils at, between Venetians and Genoese"	FALSE
Acre	plan of	FALSE
Acre	captured by Saracens	FALSE
Acre	wickedness of	FALSE
Acrea	a Tartar general	FALSE
Adam	DASH 's Sepulchre on Mountain in Ceylon(Adam's peak)	Location
Adam	DASH 's Apple	FALSE
Adam	"Legend of,Seth, and the Tree of Life"	FALSE
Adam	"DASH 's teeth,hair"	FALSE
Adam	the Footmark	FALSE
Adam	the Peak	FALSE
Adamodana		FALSE
Adel	apparently confused with Aden	FALSE
Aden	Vengeance of King of Abyssinia on him	Person
Aden	Horse and other Trade with India	Person
Aden	the Soldan's treatment of a bishop	Location
Aden	confused with Adel	FALSE
Aden	account of Kingdom	Person
Aden	the Sultan	Location
Aden	intercourse and trade with China	FALSE
Aden	Tanks	Person
Adoration of the Emperor		FALSE
Adulis	inscription of	FALSE
Aepyornis and its eggs		FALSE
Africa	Sea surrounding to the South	Location
Agathou Daimonos	Island	Location
Aghrukji or Ukuruji	son of Kublai	Person
Agricola	"Governor of Cappadocia, etc"	Person
Aguil	Mongol general	Person
Ahmad of Fenaket	"DASH Sultan, Khan of Persia, see Acomat"	Person
Ahmad of Fenaket	Kublai's oppressive minister	Person
Ahmad of Fenaket	Shah Durani	Person
Ahmadi	province	Location
Aidhab		FALSE
Aidhej		FALSE
Aijaruc	her strength and prowess	Person
Aijaruc	her name	Person
Aijaruc	Kaidu's daughter	Person
Aijaruc	the real lady	Person
Aikah Nowin	Engineer in Chief of Chinghiz	Person
Ajmir		FALSE
Akaas of Bolor		FALSE
Akbar and Kublai	a parallel	Person
Ak-Bulak salt-mines		Location
Akhaltziké (Western Georgia)		Location
Akhtuba River		Location
Ak-khoja		FALSE
Aktar		FALSE
Al Biruni		FALSE
Alabastri		FALSE
Alacou	"Aladja, striped cotton cloth"	FALSE
Alacou(Hukalu)	see Alau	FALSE
Alamut	Castle of the Ismailites	Location
Alania		FALSE
Alans	"massacre of a party of, at ChangchauPerson"	Person
Alans	employed under Mongols	Person
Alaone	the name	FALSE
Alarm Tower	"Alatcha, cotton stuff with blue and red stripes"	Location
Alarm Tower	at Cambaluc	Location
Alarm Tower	at Kinsay	Location
Alau	khan of Persia	Person
Alau	his war with Barka	Person
Alau	makes an end of the Old Man of the Person	Person
Alau	Longfellow's Poem on the subject	Person
Alau	takes Baghdad and puts the Khalif to death	Person
Alauddin (Alaodin)	see Old Man of the Mountain	Person
Alauddin (Alaodin)	"DASH (Alawating of Mufali), an engineer in Kublai’s service"	Person
Alauddin (Alaodin)	"DASH Khilji, Sultan of Delhi"	Person
Albenigaras		FALSE
Alboquerque	see D’Alboquerque	FALSE
Alchemy	the Kaan's	FALSE
Al–Ramni	"Al–Ramin, see Sumatra"	FALSE
Alexander III	Pope	Person
Alexander IV	Pope	Person
Alexander the Great	"allusions to legendary History of, and Romances regarding"	Person
Alexander the Great	his rampart (Iron Gate)	Person
Alexander the Great	site of his battle with Darius	Person
Alexander the Great	his wife Roxana	Person
Alexander the Great	his horse Bucephalus	Person
Alexander the Great	his tower on the border of Darkness	Person
Alexander the Great	the curtains at a banquet given by	Person
Alexander the Great	and the ferrum candidum	Person
Alexander the Great	kills a lion	Person
Alexander the Great	Princes claiming descent from (Zulcarniain)	Person
Alexander the Great	fixes chains on Adam’s Peak	Person
Alexander the Great	said to have colonised Socotra	Person
Alexandria	trade from India to	Location
Alidada		FALSE
Alihaiya	general of Kublai	Person
Alinak		FALSE
Alligator	in Carajan	FALSE
Alligator	mode of killing	FALSE
Alligator	eaten	FALSE
Alligator	prophecy of Bhartpúr about	FALSE
Almalik		FALSE
Almanacs	Chinese (Tacuin)	FALSE
Almonds		FALSE
Aloes	Socotrine	FALSE
Aloes	"DASH wood, see Lign-aloes"	FALSE
Aloes	"Alor, war cry"	FALSE
Altai (Altay) Mountains	the Khan's burial-place	Location
Altai (Altay) Mountains	used for the Khingan range	Location
Altun-Khan	Mountain	Location
Altun-Khan	DASH sovereign	Location
Amazons		Location
Ambergris	how got	FALSE
Amda Zion	king of Abyssinia	Person
Amda Zion	his wars against  Mahomedans	Person
Amda Zion	not the king mentioned by Polo	Person
Ameri	a kind of Brazil wood so called	FALSE
Amhara		FALSE
Amien	Mien (Burma)	FALSE
Amita Buddha		FALSE
Amphora	Anfora	FALSE
Amu	"Aniu, see Anin"	FALSE
Anár		FALSE
Ananda	Kublai's grandson	Person
Anaurahta	king of Burma	Person
Ancestor Worship		FALSE
Anchors	Wooden	FALSE
Andaine	"andena, andanicum, see Ondanique"	FALSE
Andaman Islands 	"Natives, see Angamanain"	FALSE
Andragiri		FALSE
Andreas	king of Abyssinia	Person
Andrew	Bishop of Zayton	Person
Andromeda ovalifolia	poisonous	FALSE
Andun	"andun, words for steel"	FALSE
Angelic French	or Hamjám	FALSE
Animal Patterns	see Beast	FALSE
Anin	"province of, described"	Location
Annals of the Indo–Chinese States	Remarks on the written	FALSE
Antarctic	"Star at the, as drawn by Marco Polo"	FALSE
Anthropoides Virgo		FALSE
Antongil Bay		FALSE
Apostoille (for 'Pope')		FALSE
Apples of Paradise 		FALSE
Apushka (Apusca)	Tartar envoy from Persia	FALSE
Arab Seamen's Traditions about Java	"DASH merchants, in Southern India"	Person
Arab Seamen's Traditions about Java		FALSE
Arab Seamen's Traditions about Java	DASH colonies in Madagascar	Location
Arab Seamen's Traditions about Java	"DASH Horses, trade in ,see Horses"	FALSE
Arabadni		FALSE
Arabi 	People called (Arabs)	Organization
Arabia		FALSE
Arachoti		FALSE
Araines	the word	FALSE
Arakan		FALSE
Aram (Harámi)	the word	FALSE
Ararat	ascents of	FALSE
Arblasts	see crossbows	FALSE
Arbre Sec	DASH Seul (a wrong reading)	FALSE
Arbre Sol or Arbre Sec	"in Rabbinical and Buddhist stories, and legends of the Wood of the Cross"	Location
Arbre Sol or Arbre Sec	 Region of the (Khorasan)	Location
Arbre Sol or Arbre Sec	DASH described — Chínár or Oriental plane	Location
Arbre Sol or Arbre Sec	various readings	Location
Arbre Sol or Arbre Sec	"Arbre seul, a wrong reading"	Location
Arbre Sol or Arbre Sec	Tree of the Sun legend	Location
Arbre Sol or Arbre Sec	Christian legend of the Dry Tree (Arbre Sec)	Location
Arbre Sol or Arbre Sec	engrafted in the legends of Alexander	Location
Arbre Sol or Arbre Sec	Trees of Grace in Persia	Location
Arbre Sol or Arbre Sec	Dry Trees in Mahomedan legend	Location
Arbre Sol or Arbre Sec	Polo’s Arbre to be sought near Damghan	Location
Arbre Sol or Arbre Sec	"the Chinar,and Sabaean Apologue regarding it"	Location
Arcali	"Arculin, see Erculin"	FALSE
Archbishop of Socotra		FALSE
Architectural remains in Indo–China		FALSE
Areca		FALSE
Areng Saccharifera		FALSE
Argaeus	Mount	FALSE
Argali		FALSE
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	Khan of Persia 	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his unhappy use of the Elixir Vitae	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	advances against his uncle Ahmad	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	harangues his chiefs	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his death	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	his beauty	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	sends an embassy to the great kaan for a wife	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is dead when she arrives	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	sends Ahmad a remonstrance	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is taken prisoner	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	released by certain chiefs	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	obtains sovereignty	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	puts Ahmad to death	Person
"Arghun Khan (Argon, Lord of the Levant, of Polo)"	is recognised as sovereign	Person
Argons or half-breeds (Arghún)		FALSE
Arii	Ariana	FALSE
Arikbuga	brother of Kublai	Person
Arimaspia		FALSE
Ariora Keshimur	meaning of Ariora	FALSE
Aripo		FALSE
Arjish (Arzizi)		FALSE
Arkasun Noian		FALSE
Arkhaiun	applied to Oriental Christians or their Clergy	FALSE
Armenia	DASH Greater	FALSE
Armenia	Lesser or Cilician	FALSE
Armenian Christians		FALSE
Armenians		FALSE
Arms of Kerman celebrated	of the Tartars	FALSE
Arrows	Tartar	FALSE
Artacki		FALSE
Arts	the Seven	FALSE
Aru (in Sumatra)		FALSE
Arucki		FALSE
Aruk		FALSE
Arya Chakravarti		FALSE
Aryavartta	the Holy Lands of Indian Buddhism	Person
Arzinga (Erzingan)		FALSE
Arziron (Erzrum)		FALSE
Arzizi (Arjísh)		FALSE
Asbestos and the Salamander		FALSE
Asceticism of the Sensin	of the Jogis	FALSE
Asciar	see Ashar 	FALSE
Asedin Soldan (Ghaiassuddin Balban)	Sultan of Delhi	Person
Ashishin	see Assassins	FALSE
Asoka	founder of the Bagratid dynasty	Person
Asper		FALSE
Assassins	 see Ismailites	FALSE
Asses	"Fine, in Persia"	FALSE
Asses	"DASH Wild, in Persia"	FALSE
Asses	in Mongolia	FALSE
Asses	in Madagascar	FALSE
Asses	in Abyssinia	FALSE
Asses	in Far North	FALSE
Asterius	Bishop of Amasia in Pontus	Person
Astrakhan (Gittarchan)		FALSE
Astrolabe		FALSE
Astrology	"Astrologers, in Tangut"	FALSE
Astrology	of Chinghiz	FALSE
Astrology	at Kaan’s Court	FALSE
Astrology	at Cambaluc	FALSE
Astrology	at Kinsay	FALSE
Astrology	in Maabar	FALSE
Astrology	in Coilum	FALSE
Atabegs	of Mosul	FALSE
Atabegs	of Lúr	FALSE
Atabegs	of Fars	FALSE
Atabegs	of Yezd	FALSE
Atabegs	of Kerman	FALSE
Atkinson's Explorations impunged by Russians		FALSE
Atlas	"Chinese, in Magliabecchian Library"	FALSE
Audh (Oudh)		FALSE
Aufat	Ifat	FALSE
Augury	see Omens	FALSE
"Aung Khan (Unc Can, see Prester John of Polo)"	Chinghiz's victory over	Person
Aurangzib		FALSE
Aurora	striking description of 	FALSE
Aussa		FALSE
Avarian	epithet of S. Thomas	FALSE
Axum	Inscription	FALSE
Axum	Court of	FALSE
"Ayas (Layas,Aiazzo, Giazza, port of Cilician Armenia)"	Sea fight at	FALSE
Ayuthia		FALSE
Ayuthia		FALSE
Azumiti		FALSE
Azure(Ultramarine)	Mines in Badakhshan	Location
Azure(Ultramarine)	Mines in Tenduc	Location
Azure(Ultramarine)	ore of	FALSE
Baba Buzurg	worshipped by the Lurs	FALSE
Baboons	etymology of the word	FALSE
Babylon	Babylonia (Cairo or Egypt)	Location
Babylon	Sultan of	Person
Babylonish garments		FALSE
Baccadeo	indigo	FALSE
Baccanor		FALSE
Bacsi(Bakhshi)	Lamas	FALSE
Bacsi(Bakhshi)	various changes of meaning	FALSE
Badáún		FALSE
Badakhshan (Badashan)	great river of (Upper Oxus)	Location
Badakhshan (Badashan)	scenery	FALSE
Badakhshan (Badashan)	dialects	FALSE
Badakhshan (Badashan)	forms of the name	FALSE
Badakhshan (Badashan)	People of 	FALSE
Badakhshan (Badashan)	Mirs of	FALSE
Badakhshan (Badashan)	described	FALSE
Badakhshan (Badashan)	capitals 	FALSE
Badakhshan (Badashan)	"Kings of, claim descent from Alexander, "	FALSE
Badakhshan (Badashan)	depopulation of	FALSE
Badgír	Wind-catchers	Person
Badger	Rev. G.P	FALSE
Badghís		FALSE
Badruddin Lulu of Mosul	last Atabeg of Mosul	FALSE
Bafk		FALSE
Baft		FALSE
Baghdad (Baudas)	DASH its indigo (baccadeo)	FALSE
Bagratidae	of Armenia	FALSE
Bagratidae	of Georgia	FALSE
Bahar		FALSE
Bah·uddin Ayaz		FALSE
Bahrein		FALSE
Bai		FALSE
Baiberdon		FALSE
Baidu Khan	seizes throne of Persia	Person
Baidu Khan	displaced and put to death by Ghazan	Person
Baidu Khan	alleged to be a Christian	Person
Bailo	the title	FALSE
Bailo	etymology of	FALSE
Bakhty·ris of Lurist·n		FALSE
Bala-Sagun		FALSE
Baldacchini (Baudekins)	brocades made at Baghdad	FALSE
Baldwin de Courtenay	last Latin Emperor of Constantinople	Person
Bali	Island of	Location
Bali	DASH in Abyssinia	Location
Balios		FALSE
Balish (a money of account)		FALSE
Balista	always a crossbow in mediaeval times	FALSE
Balkhash 	Lake	FALSE
Ballaad-ul-Falfal		FALSE
Ballads	"Genoese, on sea-fights at Ayas and Curzola"	FALSE
Ballard	Mr.	FALSE
Balor	"Balaur, Bilaur, Malaur, see Bolor"	FALSE
Balsamodendron Mukul		FALSE
Balti		FALSE
Balustrade	etymology of the word	FALSE
Bamboo 	"Jungle of, on fire"	Location
Bamboo 	its multifarious uses	FALSE
Bamboo 	largest size of	FALSE
Bamboo 	Chekiang	FALSE
Bamian	huge recumbent image at	FALSE
Bamian	caves at	FALSE
Bam-i-dunyah	Roof of the World	Location
Bamm		FALSE
Bamo	River of	Location
Bandar Abbas (Bandar-Abbasi)		FALSE
Bangala	see Bengal	Location
Baptism accompanied by branding in Abyssinia		FALSE
Bara		FALSE
Barac (Borrak)	Khan of Chagatai	Person
Barac (Borrak)	his war with Arghun	Person
Barberino	Francesco da	FALSE
Barberino	mentions Cathay	FALSE
Bardesir		FALSE
Bargu 	plain of	FALSE
Barguchin Tugrum		FALSE
Barguerlac 	Bird called	FALSE
Barguzinsk		FALSE
Barin	Mongol tribe	FALSE
Bark	fine clothes from	FALSE
