Entity Name	Type	Tag
A�s	Asu, see Alans	FALSE
Abacan	a Tartar general	Person
�bah	/see/ Ávah	
Abaji	son of Kublai	Person
Abaka (Abaga)	Khan of Persia	Person
Abano	Pietro of, his notice of Polo	Person
Abash (Habsh)	see Abyssinia	FALSE
Abba Gregory		FALSE
Abbott	Consul Keith E.	FALSE
Abdul Kuri islands	DASH Mejid	Location
Abeskun (Baxon	on the Caspian	FALSE
Abher		FALSE
Abn�s	ebony	FALSE
Abraha	ruler of Yemen	Person
Abraiaman	emplyed as shark-charmers	Organization
Abraiaman	high character	Organization
Abraiaman	distinctive thread	Organization
Abraiaman	their king	Organization
Abraiaman	their head to omens 	Organization
Abraiaman	longetivity	Organization
Abraiaman	the word	Organization
Abubakr	Atabeg of Fars	Person
Abubakr	DASH Ibrahim, and Mahomed, engineers employed by Kublai	Person
Abulfeda	his geography	Person
Abulfeda	at the siege of Acre	Person
Abyssinia (Abash)	outrage by Soldan of Aden causes the the king of to attack the latter	Person
Abyssinia (Abash)	his vengeance	Person
Abyssinia (Abash)	mediaeval history and chronology	Person
Abyssinia (Abash)	further particulars regarding	Person
Abyssinia (Abash)	dominion on the coast	FALSE
Abyssinia (Abash)	table of Reigns	FALSE
Abyssinia (Abash)	wars with Mahomedan states	FALSE
Abyssinia (Abash)	curious account of kings	FALSE
Acbalec Manzi	White City of the Manzi frontier	Location
Acbalec Manzi	DASH, or Acbaluc (Chingtingfu)	Location
Accambale	king of Champa	Person
Acheh	Achem,see next word	FALSE
Achin	its gold of	FALSE
Achin	Lign-aloes	FALSE
Achin	conversion of	FALSE
Achin	its great power at one time	FALSE
Achin	elephants at	FALSE
Achin	DASH Head	FALSE
Achmath(Ahmad)	his power	Person
Achmath(Ahmad)	the Bailo	FALSE
Achmath(Ahmad)	oppressive malversations	FALSE
Achmath(Ahmad)	death	FALSE
Achmath(Ahmad)	post-humous condemnation	FALSE
Acomat Soldan (Ahmad Sultan)	rejects his remonstrance	Person
Acomat Soldan (Ahmad Sultan)	notes on the history	Person
Acomat Soldan (Ahmad Sultan)	seizes throne of Tabriz	FALSE
Acomat Soldan (Ahmad Sultan)	goes to encounter Argon	FALSE
Acomat Soldan (Ahmad Sultan)	defeats and takes him	FALSE
Acomat Soldan (Ahmad Sultan)	hears of Argon�s escape, is taken and put to death	FALSE
Acorn bread		FALSE
Acqui	Friar Jacopo d�, his notice of Polo	Person
Acre	Polos at	FALSE
Acre	see Ava	FALSE
Acre	Broils at, between Venetians and Genoese	FALSE
Acre	plan of	FALSE
Acre	captured by Saracens	FALSE
Acre	wickedness of	FALSE
Acrea	a Tartar general	FALSE
Adam	DASH 's Sepulchre on Mountain in Ceylon(Adam's peak)	Location
Adam	DASH 's Apple	FALSE
Adam	Legend of,Seth, and the Tree of Life	FALSE
Adam	DASH 's teeth,hair	FALSE
Adam	the Footmark	FALSE
Adam	the Peak	FALSE
Adamodana		FALSE
Adel	apparently confused with Aden	FALSE
Aden	Vengeance of King of Abyssinia on him	Person
Aden	Horse and other Trade with India	Person
Aden	the Soldan's treatment of a bishop	Location
Aden	confused with Adel	FALSE
Aden	account of Kingdom	Person
Aden	the Sultan	Location
Aden	intercourse and trade with China	FALSE
Aden	Tanks	Person
Adoration of the Emperor		FALSE
Adulis	inscription of	FALSE
Aepyornis and its eggs		FALSE
Africa	Sea surrounding to the South	Location
Agathou Daimonos	Island	Location
Aghrukji or Ukuruji	son of Kublai	Person
Agricola	Governor of Cappadocia, etc	Person
Aguil	Mongol general	Person
Ahmad of Fenaket	DASH Sultan, Khan of Persia, see Acomat	Person
Ahmad of Fenaket	Kublai's oppressive minister	Person
Ahmad of Fenaket	Shah Durani	Person
Ahmadi	province	Location
Aidhab		FALSE
Aidhej		FALSE
Aijaruc	her strength and prowess	Person
Aijaruc	her name	Person
Aijaruc	Kaidu's daughter	Person
Aijaruc	the real lady	Person
Aikah Nowin	Engineer in Chief of Chinghiz	Person
Ajmir		FALSE
Ak-Bulak salt-mines		Location
Ak-khoja		FALSE
Akaas of Bolor		FALSE
Akbar and Kublai	a parallel	Person
Akhaltziké 	(Western Georgia)	Location
Akhtuba River		Location
Aktar		FALSE
Al Biruni		FALSE
Alabastri		FALSE
Alacou	Aladja, striped cotton cloth	FALSE
Alacou(Hukalu)	see Alau	FALSE
Alamut	Castle of the Ismailites	Location
Alania		FALSE
Alans	massacre of a party of, at ChangchauPerson	Person
Alans	employed under Mongols	Person
Alaone	the name	FALSE
Alarm Tower	Alatcha, cotton stuff with blue and red stripes	Location
Alarm Tower	at Cambaluc	Location
Alarm Tower	at Kinsay	Location
Alau	khan of Persia	Person
Alau	his war with Barka	Person
Alau	makes an end of the Old Man of the Person	Person
Alau	Longfellow's Poem on the subject	Person
Alau	takes Baghdad and puts the Khalif to death	Person
Alauddin (Alaodin)	see Old Man of the Mountain	Person
Alauddin (Alaodin)	DASH (Alawating of Mufali), an engineer in Kublai�s service	Person
Alauddin (Alaodin)	DASH Khilji, Sultan of Delhi	Person
Albenigaras		FALSE
Alboquerque	see D�Alboquerque	FALSE
Alchemy	the Kaan's	FALSE
Alexander III	Pope	Person
Alexander IV	Pope	Person
Alexander the Great	allusions to legendary History of, and Romances regarding	Person
Alexander the Great	his rampart (Iron Gate)	Person
Alexander the Great	site of his battle with Darius	Person
Alexander the Great	his wife Roxana	Person
Alexander the Great	his horse Bucephalus	Person
Alexander the Great	his tower on the border of Darkness	Person
Alexander the Great	the curtains at a banquet given by	Person
Alexander the Great	and the ferrum candidum	Person
