chapterNo,chapterTitle,sectionNo,sectionTitle,sentence
1,PART 1,1,Power and Magnificence of Kublai,"Now I am to give you a wonderful account of the greatest king of the Tartars, still reigning, named Kublai, or lord of lords."
1,PART 1,1,Power and Magnificence of Kublai,"That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; "
1,PART 1,1,Power and Magnificence of Kublai,"Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan."
1,PART 1,1,Power and Magnificence of Kublai,"He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom."
1,PART 1,1,Power and Magnificence of Kublai,"His brothers sought to oppose his succession, but by bravery and right he triumphed over them."
1,PART 1,1,Power and Magnificence of Kublai,"From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298."
1,PART 1,1,Power and Magnificence of Kublai,"He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain."
1,PART 1,1,Power and Magnificence of Kublai,"But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion."
1,PART 1,2,Insurrection raised by Nayan,"You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself."
1,PART 1,2,Insurrection raised by Nayan,"He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury."
1,PART 1,2,Insurrection raised by Nayan,"To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory."
1,PART 1,2,Insurrection raised by Nayan,"Kaidu declared himself well pleased, and promised to be ready at the time appointed."
1,PART 1,2,Insurrection raised by Nayan,"He could bring into the field 100,000 cavalry ; "
,,,,"and those two assembled a mighty army on horseback and foot, and marched against the great khan."
1,PART 1,3,Kublai prepares to meet him,"When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death."
1,PART 1,3,Kublai prepares to meet him,"He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council."
1,PART 1,3,Kublai prepares to meet him,"He raised full 360,000 mounted soldiers, and 100,000 infantry ;"
,,,,"and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;"
