,chapterNo,chapterTitle,sectionNo,SentenceNo,sectionTitle,sentence,Person,Location,common
0,1,PART 1,1,1,Power and Magnificence of Kublai,"Now I am to give you a wonderful account of the greatest king of the Tartars|s, still reigning, named Kublai, or lord of lords.",Kublai,,Tartars
1,1,PART 1,1,2,Power and Magnificence of Kublai,"That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; ",Adam,,Adam
2,1,PART 1,1,3,Power and Magnificence of Kublai,"Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.","Gengis,Kublai",,"Gengis,Tartars"
3,1,PART 1,1,4,Power and Magnificence of Kublai,"He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.",,,Lord
4,1,PART 1,1,5,Power and Magnificence of Kublai,"His brothers sought to oppose his succession, but by bravery and right he triumphed over them.",,,
5,1,PART 1,1,6,Power and Magnificence of Kublai,"From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.",,,
6,1,PART 1,1,7,Power and Magnificence of Kublai,"He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.",,,
7,1,PART 1,1,8,Power and Magnificence of Kublai,"But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.",,,
8,1,PART 1,2,9,Insurrection raised by Nayan,"You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.",Nayan,,Nayan
9,1,PART 1,2,10,Insurrection raised by Nayan,"He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.",Kaidu,,Kaidu
10,1,PART 1,2,11,Insurrection raised by Nayan,"To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.",Nayan,,Nayan
11,1,PART 1,2,12,Insurrection raised by Nayan,"Kaidu declared himself well pleased, and promised to be ready at the time appointed.",Kaidu,,Kaidu
12,1,PART 1,2,13,Insurrection raised by Nayan,"He could bring into the field 100,000 cavalry ; ",,,
13,1,PART 1,2,14,Insurrection raised by Nayan,"and those two assembled a mighty army on horseback and foot, and marched against the great khan.",khan,,
14,1,PART 1,3,15,Kublai prepares to meet him,"When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death.",Kublai,,
15,1,PART 1,3,16,Kublai prepares to meet him,"He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council.",,,
16,1,PART 1,3,17,Kublai prepares to meet him,"He raised full 360,000 mounted soldiers, and 100,000 infantry ;",,,
17,1,PART 1,3,18,Kublai prepares to meet him,"and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;",,,
