	chapterNo	chapterTitle	sectionNo	sectionTitle	sentence	spacy Location	spacy Person
0	1	PART 1	1	Power and Magnificence of Kublai	Now I am to give you a wonderful account of the greatest king of the Tartars, still reigning, named Kublai, or lord of lords.		Tartars
1	1	PART 1	1	Power and Magnificence of Kublai	That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; 		
2	1	PART 1	1	Power and Magnificence of Kublai	Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.		Gengis ,Tartars ,Kublai
3	1	PART 1	1	Power and Magnificence of Kublai	He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.		
4	1	PART 1	1	Power and Magnificence of Kublai	His brothers sought to oppose his succession, but by bravery and right he triumphed over them.		
5	1	PART 1	1	Power and Magnificence of Kublai	From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.		
6	1	PART 1	1	Power and Magnificence of Kublai	He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.		
7	1	PART 1	1	Power and Magnificence of Kublai	But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.		
8	1	PART 1	2	Insurrection raised by Nayan	You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.		
9	1	PART 1	2	Insurrection raised by Nayan	He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.		Kaidu
10	1	PART 1	2	Insurrection raised by Nayan	To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.		
11	1	PART 1	2	Insurrection raised by Nayan	Kaidu declared himself well pleased, and promised to be ready at the time appointed.		Kaidu
12	1	PART 1	2	Insurrection raised by Nayan	He could bring into the field 100,000 cavalry ; 		
13					and those two assembled a mighty army on horseback and foot, and marched against the great khan.		
14	1	PART 1	3	Kublai prepares to meet him	When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death.		
15	1	PART 1	3	Kublai prepares to meet him	He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council.		
16	1	PART 1	3	Kublai prepares to meet him	He raised full 360,000 mounted soldiers, and 100,000 infantry ;		
17					and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;		
18					 for if he could have assembled his whole host, the multitude would have been such as no man could have numbered.		
19	1	PART 1	3	Kublai prepares to meet him	He then called his astrologers, and asked of them if he would be victorious ; 		
20					they answered, that he would do to his enemies according to his pleasure.		
21	1	PART 1	4	Description of the Battle	The great khan having assembled these forces, took his departure, and in twenty days came to a vast plain, where Nayan had assembled all his troops, amounting to 400,000 warriors.		Nayan
22	1	PART 1	4	Description of the Battle	The khan took much care to scour the paths, and intercept all who could have carried the intelligence ; 		
23					so that when he approached at dawn of day, the rebel was lying asleep in bed with a favourite wife, not having the least dread of his arrival, and, consequently, no guard on any side of the camp.		
24	1	PART 1	4	Description of the Battle	Kublai then advanced, having a tower fixed upon four elephants, whereon were placed his ensigns, so that he could be seen by the whole army.		
25	1	PART 1	4	Description of the Battle	His men, divided into bands of twenty thousand, surrounded in a moment the adverse force, each soldier having a footman on the crupper behind him, with a bow in his hand.		
26	1	PART 1	4	Description of the Battle	When Nayan and his men saw their camp thus encircled by the khan and his host, they were seized with amaze ; 		
27					yet they ran to arms, formed themselves in order of battle, and were soon prepared to strike.		
28	1	PART 1	4	Description of the Battle	Then began the beating on many instruments, and singing with loud voices;		
29					 for it is the custom of the Tartars, that until the horn termed naccar is winded the troops do not engage.		Tartars
30	1	PART 1	4	Description of the Battle	But when that grand trumpet of the great khan was sounded, all the other performers began playing, and raising their voices very loud, making a noise that was truly most wonderful.		
31	1	PART 1	4	Description of the Battle	Then the two armies rushed against each other with sword, spear, and lance, while the footmen were prepared with bow and quiver.		
32	1	PART 1	4	Description of the Battle	The battle was fierce and cruel		
33					the arrows filled the air like rain 		
34					horses and horsemen were seen falling to the ground		
35					and the tumult was such, that if Jove had thundered, he could not have been heard.		Jove
36	1	PART 1	4	Description of the Battle	Nayan was a baptized Christian, and therefore had the cross upon his standard.		Nayan
37	1	PART 1	4	Description of the Battle	Never, in our day, was there so hard and terrible a combat, nor so many assembled on one field, especially of horsemen ;		
38					 and the number who fell on both sides was fearful to behold.		
39	1	PART 1	4	Description of the Battle	The battle continued from nine in the morning till midday 		
40					but the great khan at last remained master of the field.		
41	1	PART 1	4	Description of the Battle	When Nayan and his men saw that they could hold out no longer, they betook themselves to flight ; 		
42					but it availed them nothing		
43					he was taken, and all his troops surrendered.		
44	1	PART 1	5	The Death of Nayan	When that great monarch heard that Nayan was taken, he ordered him to be put to death in the manner I am now to tell you.		
45	1	PART 1	5	The Death of Nayan	He was wrapped in a carpet, and violently tossed to and fro till he died.		
