chapterNo,chapterTitle,sectionNo,SentenceNo,sectionTitle,sentence,Person,Location
1,PART 1,1,1,Power and Magnificence of Kublai,"Now I am to give you a wonderful account of the greatest king of the Tartars|s, still reigning, named Kublai, or lord of lords.",Kublai,
1,PART 1,1,2,Power and Magnificence of Kublai,"That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; ",Adam,
1,PART 1,1,3,Power and Magnificence of Kublai,"Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.","Gengis,Kublai",
1,PART 1,1,4,Power and Magnificence of Kublai,"He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.",,
1,PART 1,1,5,Power and Magnificence of Kublai,"His brothers sought to oppose his succession, but by bravery and right he triumphed over them.",,
1,PART 1,1,6,Power and Magnificence of Kublai,"From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.",,
1,PART 1,1,7,Power and Magnificence of Kublai,"He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.",,
1,PART 1,1,8,Power and Magnificence of Kublai,"But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.",,
1,PART 1,2,9,Insurrection raised by Nayan,"You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.",Nayan,
1,PART 1,2,10,Insurrection raised by Nayan,"He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.",Kaidu,
1,PART 1,2,11,Insurrection raised by Nayan,"To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.",Nayan,
1,PART 1,2,12,Insurrection raised by Nayan,"Kaidu declared himself well pleased, and promised to be ready at the time appointed.",Kaidu,
1,PART 1,2,13,Insurrection raised by Nayan,"He could bring into the field 100,000 cavalry ; ",,
1,PART 1,2,14,Insurrection raised by Nayan,"and those two assembled a mighty army on horseback and foot, and marched against the great khan.",khan,
1,PART 1,3,15,Kublai prepares to meet him,"When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death.",Kublai,
1,PART 1,3,16,Kublai prepares to meet him,"He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council.",,
1,PART 1,3,17,Kublai prepares to meet him,"He raised full 360,000 mounted soldiers, and 100,000 infantry ;",,
1,PART 1,3,18,Kublai prepares to meet him,"and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;",,
1,PART 1,3,19,Kublai prepares to meet him," for if he could have assembled his whole host, the multitude would have been such as no man could have numbered.",,
1,PART 1,3,20,Kublai prepares to meet him,"He then called his astrologers, and asked of them if he would be victorious ; ",,
1,PART 1,3,21,Kublai prepares to meet him,"they answered, that he would do to his enemies according to his pleasure.",,
1,PART 1,4,22,Description of the Battle,"The great khan having assembled these forces, took his departure, and in twenty days came to a vast plain, where Nayan had assembled all his troops, amounting to 400,000 warriors.","Khan,Nayan",
1,PART 1,4,23,Description of the Battle,"The khan took much care to scour the paths, and intercept all who could have carried the intelligence ; ",khan,
1,PART 1,4,24,Description of the Battle,"so that when he approached at dawn of day, the rebel was lying asleep in bed with a favourite wife, not having the least dread of his arrival, and, consequently, no guard on any side of the camp.",,
1,PART 1,4,25,Description of the Battle,"Kublai then advanced, having a tower fixed upon four elephants, whereon were placed his ensigns, so that he could be seen by the whole army.",Kublai,
1,PART 1,4,26,Description of the Battle,"His men, divided into bands of twenty thousand, surrounded in a moment the adverse force, each soldier having a footman on the crupper behind him, with a bow in his hand.",,
1,PART 1,4,27,Description of the Battle,"When Nayan and his men saw their camp thus encircled by the khan and his host, they were seized with amaze ; ",Nayan,
1,PART 1,4,28,Description of the Battle,"yet they ran to arms, formed themselves in order of battle, and were soon prepared to strike.",,
1,PART 1,4,29,Description of the Battle,"Then began the beating on many instruments, and singing with loud voices;",,
1,PART 1,4,30,Description of the Battle," for it is the custom of the Tartars, that until the horn termed naccar is winded the troops do not engage.",,
1,PART 1,4,31,Description of the Battle,"But when that grand trumpet of the great khan was sounded, all the other performers began playing, and raising their voices very loud, making a noise that was truly most wonderful.",khan,
1,PART 1,4,32,Description of the Battle,"Then the two armies rushed against each other with sword, spear, and lance, while the footmen were prepared with bow and quiver.",,
1,PART 1,4,33,Description of the Battle,The battle was fierce and cruel; ,,
1,PART 1,4,34,Description of the Battle,the arrows filled the air like rain ; ,,
1,PART 1,4,35,Description of the Battle,horses and horsemen were seen falling to the ground; ,,
1,PART 1,4,36,Description of the Battle,"and the tumult was such, that if Jove had thundered, he could not have been heard.",Jove,
1,PART 1,4,37,Description of the Battle,"Nayan was a baptized Christian, and therefore had the cross upon his standard.",Nayan,
1,PART 1,4,38,Description of the Battle,"Never, in our day, was there so hard and terrible a combat, nor so many assembled on one field, especially of horsemen ;",,
1,PART 1,4,39,Description of the Battle, and the number who fell on both sides was fearful to behold.,,
1,PART 1,4,40,Description of the Battle,The battle continued from nine in the morning till midday ; ,,
