# CSV-File created with merge-csv.com
# -----------------------------------------------------------

chapterNo	chapterTitle	sectionNo	sectionTitle	sentence
1	PART 1	1	Power and Magnificence of Kublai	Now I am to give you a wonderful account of the greatest king of the Tartars, still reigning, named Kublai, or lord of lords.
1	PART 1	1	Power and Magnificence of Kublai	That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; and by the statements to be made in this book, every man shall be satisfied that he really is so.
1	PART 1	1	Power and Magnificence of Kublai	Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.
1	PART 1	1	Power and Magnificence of Kublai	He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.
1	PART 1	1	Power and Magnificence of Kublai	His brothers sought to oppose his succession, but by bravery and right he triumphed over them.
1	PART 1	1	Power and Magnificence of Kublai	t From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.
1	PART 1	1	Power and Magnificence of Kublai	He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.
1	PART 1	1	Power and Magnificence of Kublai	But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.
1	PART 1	10	His magnificent Palace in Kambalu	He resides in the vast city of Kambalu, three months in the year, December, January, and February, and has here his great palace, which I will now describe.
1	PART 1	10	His magnificent Palace in Kambalu	It is a complete square, a mile long on every side, so that the whole is four miles in circuit ; and in each angle is a very fine edifice, containing bows, arrows, cords, saddles, bridles, and all other implements of war.
1	PART 1	10	His magnificent Palace in Kambalu	In the middle of the wall between these four edifices are others, making altogether eight, filled with stores, and each containing only a single article.
1	PART 1	10	His magnificent Palace in Kambalu	Towards the south are five gates, the middle one very large, never opened nor shut unless when the great khan is to pass through ; while on the other side is one by which all enter in common.
1	PART 1	10	His magnificent Palace in Kambalu	t Within that wall is another, containing eight edifices similarly constructed ; in which is lodged the wardrobe of the sovereign.
1	PART 1	10	His magnificent Palace in Kambalu	These walls enclose the palace of that mighty lord, which is the greatest that ever was seen.
1	PART 1	10	His magnificent Palace in Kambalu	The floor Tises ten palms above the ground, and the roof is exceedingly lofty.
1	PART 1	10	His magnificent Palace in Kambalu	The walls of the chambers and stairs are all covered with gold and silver, and adorned with pictures of dragons, horses, and other races of animals.
1	PART 1	10	His magnificent Palace in Kambalu	The hall is so spacious that 6000 can sit down to banquet ; and the numberof apartmentais incredible.
1	PART 1	10	His magnificent Palace in Kambalu	Theroof is externally painted with red, blue, green, and other colours, and is so varnished that it shines like crystal, and is seen to a great distance around.
1	PART 1	10	His magnificent Palace in Kambalu	It is also very strongly and durably built.
1	PART 1	10	His magnificent Palace in Kambalu	Between the walls are pleasant meadows filled with various living creatures, as white stags, the musk animal, deer, wild goats, ermines, and other beautiful creatures.
1	PART 1	10	His magnificent Palace in Kambalu	The whole enclosure is full of animals, except the path by which men pass.
1	PART 1	10	His magnificent Palace in Kambalu	On the other side, towards the south, is a magnificent lake, whither many kinds of fish are brought and nourished.
1	PART 1	10	His magnificent Palace in Kambalu	A river enters and flows out ; but the fish are retained by iron gratings.
1	PART 1	10	His magnificent Palace in Kambalu	Towards the north, about a bowshot from the palace, Kublai has constructed a mound, full a hundred paces high and a mile in circuit, all covered with evergreen trees which never shed their leaves.
1	PART 1	10	His magnificent Palace in Kambalu	When he hears of a beautiful tree, he causes it to be dug up, with all the roots and the earth round it, and to be conveyed to him on the backs of elephants, whence the eminence has been made verdant all over, and is called the green mountain.
1	PART 1	10	His magnificent Palace in Kambalu	On the top is a palace, also covered with verdure ; it and the trees are so lovely that all who look upon them feel delight and joy.
1	PART 1	10	His magnificent Palace in Kambalu	In the vicinity is another palace, where resides the grandson of the great khan, Temur, who is to reign after him, and who follows the same life and customs as his grandsire.
1	PART 1	10	His magnificent Palace in Kambalu	He has already a golden bull and the imperial seal ; but he has no authority while his grandfather lives.
1	PART 1	11	Description of the City of Kambalu	Having described to you the palaces, I will tell you of the great city of Cathay, which contains them.
1	PART 1	11	Description of the City of Kambalu	Near it is another large and splendid one, also named Kambalu, which means in our language city of the lord; but the monarch, finding by astrology that this town would rebel, built another near it, divided only by a river, and bearing the same name, to which its inhabitants were compelled to remove.
1	PART 1	11	Description of the City of Kambalu	It forms a regular square, six miles on each side, and thus twenty-four miles in circumference.
1	PART 1	11	Description of the City of Kambalu	It is surrounded by walls of earth, ten paces thick and twenty in height; yet the upper part becomes gradually thinner, so that at top the breadth is only three paces.
1	PART 1	11	Description of the City of Kambalu	There are twelve gates, each containing an edifice, making one in each square of that wall, and filled with men, who guard the place.
1	PART 1	11	Description of the City of Kambalu	The streets are so broad and so straight that from one gate another is visible.
1	PART 1	11	Description of the City of Kambalu	It contains many beautiful houses and palaces, and a very large one in the midst, containing a steeple with a large bell, which at night sounds three times ; after which no man must leave the city without some urgent necessity, as of sickness, or a woman about to beara child.
1	PART 1	11	Description of the City of Kambalu	At each gate a thousand men keep guard, not from dread of any enemy, but in reverence of the monarch who dwells within it, and to prevent injury by robbers.
1	PART 1	12	The Suburbs—Merchants	When the monarch comes to his chief city, he remains in his noble palace three days and no more, when he holds a great court, making high festival and Tejoicing with his ladies.
1	PART 1	12	The Suburbs—Merchants	There is a vast abundance of people through all the suburbs of Kambalu, which are twelve in number, one corresponding to each gate ; no one can count the number of residents ; and they contain as stately edifices as any in the city, except the king’s Palace.
1	PART 1	12	The Suburbs—Merchants	No one is allowed to be buried within the city ; and no females of bad character can reside there, but must have their dwellings in the suburbs, where there are said to be no fewer than 20,000.
