Entity Name,Type,Page No
ABASCIA (Abyssinia),kingdom of,324
ABASCIA (Abyssinia),The inhibitants convertedby St Thomas,325
ABASCIA (Abyssinia),Its king defated the ruler of Adel (Aden),326
ABASCIA (Abyssinia),Productions of the country,327
ABASCIA (Abyssinia),"Abraiamain (Bramins), order of","293,304-308"
Achalech-Manji,province of,153
Achmae,"chief minister of Kublai,his wicked administration",120-124
Achmae,Is slain by Vanku and Chenku,122
Acomat,"the Saracen, contends for the Persian empire",339
Acomat,His batpers Argon,342
Acomat,Is seized and slain,344
Acre,a city of Palestine,"99, 100"
Adam's Peak,a mountain of Ceylon,290
Aden(Adel),a kingdom and city of Eastern Africa,325
Aden(Adel),Is invaded by the King of Absscia,326
Aden,a city and and kingdom of Arabia,327
Aden,"Inhabitated by Sarcens,ib",
Aden,"A great seat of Indian commerce, ib",
Aden,Its sultan assists Saladin in the siege of Acre,328
Alaodin,the old Man of the Mountain,227
Alaodin,His garden and castle,"227,228"
Alaodin,How he trained andemployed his assassins,228
Alaodin,His death,229
Alau,"or Hoolaku, ruler of Eastern Tartar, sends ambassadors to the great khan (Mangou)",97
Alau,"Makes war with Barka, whom he defeats","96, 352-355"
Alau,Captures Bagdad and subverts the caliphate,"87,96,97, 210"
Alau,Takes and puts to death the Old Man of the Mountain,229
Alau,Is succeeded by Abaga,338
Altai Mountains,where Gengis and his descendants are interred,"257,263"
Amu (Bamoo),province of,170
Angaman (Andaman) Islands,,"288,289"
Ararat,a celebrated mountain of Armenia,207
Argiron(Erzeroum),a city of Armenia,207
Argon,lord of the East,103
Argon,His battle with Barak,338
Argon,Contends with Acomat for the Persian empire,339
Argon,Is defeated and taken prisoner,343
Argon,His rescue and death,"344, 345"
Armenia the Greater,,"206, 207"
Armenia the Lesser,,205
Armenia the Lesser,"Is subject to the Tartars, ib",
Arzinga,a city of Armenia the Greater,206
Ascelin,"or Anselm, a Dominican friar, his mission to the Tartars, then encamped in Perna",60
Ascelin,Reception by Balothnoy the Tartar chief,61
Ascelin,His dismissal,63
Ascelin,Astrlogers and soothsayer,143
Baatau,a Tartar chief,"47, 64"
Baatau,His court,71
Badascia (Badakshan),province of,"18, 232"
Badascia (Badakshan),Abounds in precious stones,"233, 234"
Badascia (Badakshan),Its chiefs descended from Alexander the Great,233
Badascia (Badakshan),Lapis lazuli mines,234
Bagdad,See Baldach,
Baiothony,a Tartar chief,61
Baiothony,His letter sent by Ascelin to the Pope,64
Baksi,"priests of Boodh, their enchantnments and idol worship","135,136"
Baku,"a city of Persia, abounds in naphtha","207, 216"
Baldach (Bagdad),"city of, its capture by Hooklau","97,210"
Baldach (Bagdad),Its rich clothes and great wealth,210
Baldach (Bagdad),Treasures of its caliph,211
Balk(Balkh),city of,230
Balk(Balkh),"Its decay,ib",
Bangala(Bengal),province of,169
Bangu(Eastern Siberia),country of,263
Barka khan,,96
Barka khan,"Defeated by Alau,ib",
Barons,"twelve great, appointed by Kublai, governors of provinces",138
Bascra (Bussora),city of,210
Bayam,"Kublai’s general, conquers King Facfur",177
Bayam,Captures Cinghin-gui,185
Belor (Beloor),a mountain range,239
Bokhara,city of,97
Boni,"Count Baldelli, editor of two Italian versions of the Travels","22, 28, 30, 31, 36, 124, 131, 138,219"
Boodhism in Central Asia,,247
Boodhism in Central Asia,Extensively diffused through Japan,275
British Museum,MSS,
British Museum,of the Travels in,"26, 37"
Brius river,,158
Bulgaria,a country on the Volga,96
Burnes,Sir Alexander,"21, 249"
Ca-cian-fu (Tong-tcheou),city of,152
Ca-cian-fu (Ho-kien-fou),a city of cathay,173
Cai-gui(Qua-tcheou),city of,184
Cali or Kael,a city of Southern India,308
Cali or Kael,"The, king possesses great treasures,ib",
Calacian,"a city of Tangut, Central Asia",266
Calatu (Kalhat),a city at the entrance of the Persian Gulf,331
Camandu,a city of Persia,220
Camabaia(Cambay),a kingdom of Western India,316
Can-giu (Kiang-chan-fui),city of,199
Canpicion (Kan-tcheou),capital of the province of Tangut,252
Caraian,province of,159
Carpini,"a Franciscan friar, his mission to Cuyné (Kuyuk) Khan",49
Carpini,Reaches Kiev,51
Carpini,Arrives at a Tartar court,52
Carpini,His reception at the court of Cuyné,55-58
Carpini,Departure and return,60
Casan or Ghazan,his contest with Baidu,346
Casan or Ghazan,Assumed the sovereignty of Persia,347
Cascar (Cashgar),province and city of,"18, 239, 240"
Cathay or Kataia,northern China,"120, 122, 143, 148"
Cathay or Kataia,City of Cathay or Kambalu (Pe-king),129
Caya-fu,a famous castle,149
Chandu,a city of Tartary,268
Charlemagne,in his reign Germany emerged from barbarian,42
Chaym(Kao-yeou),a large city,180
Chen-gui (Yen-tcheou-fou),city of,199
China,its greatness and civilisation,21
China,Religion and Customs of the Chinese,145
Chinese empire,unknown to Europeans before Polo’s travels,"17, 18"
Chinese navigation to India,,270
Chisi (Kishm),an island in the Persian Gulf,"210, 217"
Ciagatai or Zagatai,one of the sons Gengis,221
Ciagatai or Zagatai,Becomes a convert to Christianity,"240, 241"
