Entity Name,Type,Page No,word,tag
ABASCIA (Abyssinia),kingdom of,324,kingdom,O
ABASCIA (Abyssinia),The inhibitants convertedby St Thomas,325,inhibitants,O
ABASCIA (Abyssinia),Its king defated the ruler of Adel (Aden),326,king,O
ABASCIA (Abyssinia),Productions of the country,327,Productions,O
ABASCIA (Abyssinia),"Abraiamain (Bramins), order of","293,304-308",order,O
Achalech-Manji,province of,153,province,O
Achmae,"chief minister of Kublai,his wicked administration",120-124,minister,O
Achmae,Is slain by Vanku and Chenku,122,Chenku,LOCATION
Acomat,"the Saracen, contends for the Persian empire",339,empire,O
Acomat,His batpers Argon,342,Argon,O
Acomat,Is seized and slain,344,slain,O
Acre,a city of Palestine,"99, 100",city,O
Adam's Peak,a mountain of Ceylon,290,mountain,O
Aden(Adel),a kingdom and city of Eastern Africa,325,city,O
Aden(Adel),Is invaded by the King of Absscia,326,Absscia,LOCATION
Aden,a city and and kingdom of Arabia,327,kingdom,O
Aden,"Inhabitated by Sarcens,ib",,Sarcensib,PERSON
Aden,"A great seat of Indian commerce, ib",,seat,O
Aden,Its sultan assists Saladin in the siege of Acre,328,sultan,O
Alaodin,the old Man of the Mountain,227,Man,O
Alaodin,His garden and castle,"227,228",castle,O
Alaodin,How he trained andemployed his assassins,228,assassins,O
Alaodin,His death,229,death,O
Alau,"or Hoolaku, ruler of Eastern Tartar, sends ambassadors to the great khan (Mangou)",97,ruler,O
Alau,"Makes war with Barka, whom he defeats","96, 352-355",defeats,O
Alau,Captures Bagdad and subverts the caliphate,"87,96,97, 210",caliphate,O
Alau,Takes and puts to death the Old Man of the Mountain,229,Mountain,O
Alau,Is succeeded by Abaga,338,Abaga,PERSON
Altai Mountains,where Gengis and his descendants are interred,"257,263",descendants,O
Amu (Bamoo),province of,170,province,O
Ararat,a celebrated mountain of Armenia,207,mountain,O
Argiron(Erzeroum),a city of Armenia,207,city,O
Argon,lord of the East,103,lord,O
Argon,His battle with Barak,338,battle,O
Argon,Contends with Acomat for the Persian empire,339,Contends,O
Argon,Is defeated and taken prisoner,343,prisoner,O
Argon,His rescue and death,"344, 345",death,O
Armenia the Lesser,"Is subject to the Tartars, ib",,ib,O
Arzinga,a city of Armenia the Greater,206,city,O
Ascelin,"or Anselm, a Dominican friar, his mission to the Tartars, then encamped in Perna",60,Tartars,O
Ascelin,Reception by Balothnoy the Tartar chief,61,Reception,O
Ascelin,His dismissal,63,dismissal,O
