Entity Name,Alternative Name,Type,Tag
Aás,,"Asu, /see/ Alans",No
Abacan,,a Tartar general,Person
Ábah,,/see/ Ava,No
Abaji,,Kublai’s son,Person
Abaka,Abaga,Khan of Persia,Person
Abano,,"Pietro of, his notice of Polo",Person
Abash,Habsh,/see/ Abyssinia,Location
Abba Gregory,,,No
Abbott,,Consul Keith E.,No
Abdul Kuri islands,,,Location
Abdul Kuri Mejid,,,No
Abher,,,No
Abnús,,ebony,No
Abraha,,ruler of Yemen,Person
Abraiaman,,/see/ Brahmans,No
Abubakr,,Atabeg of Fars,No
Abubakr,,"—— Ibrahim, and Mahomed, engineers employed by Kúblái",No
Abu’l Abbas Ahmed VII,,Khalif of Baghdad,Person
Abu’l Abbas Ahmed VII,,—— Fázl,Person
Abulfeda,,his geography,Person
Abulfeda,,at the siege of Acre,Person
Abulfiez Khan,,king of Bokhara,Person
Abu Nasr Mohammed IX,,Khalif of Baghdad,Person
Abu Nasr Mohammed IX,,—— Saïd,Person
Abyssinia,Abash,,Location
Abyssinia,,its king’s punishment of Soldan of Aden,Location
Abyssinia,,"dominion on the coast, mediaeval history and chronology",Location
Abyssinia,,table of kings,Location
Abyssinia,,wars with Mahomedan states,Location
Acbalec Manzi,,“White City of the Manzi frontier”,Location
Acbalec ,"Acbaluc ,Cheng-ting fu",,No
Accambale,,king of Champa,Person
Achar,,,No
Achin,,"Acheh, Achem",Location
Achin,,its gold and lign-aloes,Location
Achin,,conversion of,Location
Achin,,its great power at one time,Location
Achin,,elephants at,Location
Achin,,—— Head,Location
Achmath,,"the Bailo, /see/ Ahmad",No
Acomat Soldan,Ahmad Sultan,,Person
Acomat Soldan,,seizes throne of Tabriz,Person
Acomat Soldan,,goes to encounter Argon,Person
Acomat Soldan,,rejects his remonstrance,Person
Acomat Soldan,,defeats and takes him,Person
Acomat Soldan,,"hears of Argon’s escape, is taken and put to death",Person
Acomat Soldan,,notes on the history,Person
Acorn bread,,,No
Acqui,,"Friar Jacopo d’, his notice of Polo",Person
Acre,,,Location
Acre,,"Broils at, between Venetians and Genoese",Location
Acre,,plan of,Location
Acre,,captured by Saracens,Location
Acre,,wickedness of,Location
Acre,,Polos at,Location
Adam,,Bishop and Pope of China,Person
Adam,,"—— Seth, and the Tree of Life, legend of",Person
Adamodana,,Castle of,Location
Adam’s Apple,,,No
Adam’s Apple,,—— sepulchre on mountain (Adam’s Peak) in Ceylon,No
Adam’s Apple,,rubies,No
Adam’s Apple,,"his teeth, hair, etc.",No
Adam’s Apple,,the footmark,No
Adel,,apparently confused with Aden,No
Aden,,Horse and other Trade with India,No
Aden,,Soldan’s treatment of a bishop,No
Aden,,Vengeance of King of Abyssinia on him,Person
Aden,,confused with Adel,No
Aden,,account of Kingdom,No
Aden,,the Sultan,No
Aden,,"intercourse and trade with China, tanks",No
Aden,,view of,No
Adoration of the Emperor,,,No
Adoration of the Emperor,,/Adulis/,No
Adoration of the Emperor,,inscription of,No
Aegae,,Ayas on the site of ancient,No
Aepyornis and its eggs,,,No
Aëtius,,his prescription of musk,Person
Aëtius,,of camphor,Person
Afghans,,their use of the fat-tailed sheep,No
Africa,,Sea surrounding to the South,Location
Agassiz,,Professor,No
Agathocles,,Coins of,No
Agathocles,,"[Greek: Agathoû daímonos], island",No
Agha Ali Sháh,,present representative of the Old Man of the Mountain,No
Agha Ali Sháh,,"—— Khan Meheláti, late representative of the Old Man",No
