chapterNo	chapterTitle	sectionNo	SentenceNo	sectionTitle	sentence	Marco Location	Person	Location	Travel verbs	VerbNet Travel	Narrate verbs	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	WordNet Travel	FrameNet Travel	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
1	PART 1	1	1	Power and Magnificence of Kublai	Now I am to give you a wonderful account of the greatest king of the Tartars|s, still reigning, named Kublai, or lord of lords.	Kambalu	Kublai				named		give,named						named	
1	PART 1	1	2	Power and Magnificence of Kublai	That name is assuredly well merited, since he is the most powerful in people, in lands, and in treasure, that is, or ever was, from the creation of Adam to the present day ; 	Kambalu	Adam						was	was		was	was			
1	PART 1	1	3	Power and Magnificence of Kublai	Whosoever descends in the direct line from Gengis is entitled to be master of all the Tartars, and Kublai is the sixth great khan.	Kambalu	Gengis,Kublai						be	be		be	be			
1	PART 1	1	4	Power and Magnificence of Kublai	He began to reign in the year of our Lord 1256,and maintained the dominion by his valour, address, and wisdom.	Kambalu							began	maintained					maintained	
1	PART 1	1	5	Power and Magnificence of Kublai	His brothers sought to oppose his succession, but by bravery and right he triumphed over them.	Kambalu							oppose,triumphed		sought				triumphed	
1	PART 1	1	6	Power and Magnificence of Kublai	From the beginning of his reign, forty-two years have elapsed to the present day, in the year 1298.	Kambalu														
1	PART 1	1	7	Power and Magnificence of Kublai	He is now full eighty-five years old, and before his accession commanded many armies, when he approved himself good at weapons, and a brave captain.	Kambalu							commanded							
1	PART 1	1	8	Power and Magnificence of Kublai	But since that time he has joined the army only once, which was in the year 1286, and I will tell you on what occasion.	Kambalu					tell	tell	was,tell	was,tell		was	tell ,was		tell	
1	PART 1	2	9	Insurrection raised by Nayan	You must understand that a certain cousin of his, named Nayan, who, like his ancestors, was his vassal, yet had many lands and provinces of his own, and could raise 400,000 horsemen, being thirty years old,refused to remain longer in subjection, and assumed the whole sovereignty to himself.	Kambalu	Nayan				named		named,was,had,raise,being	was,being		was,being	being ,was		named	
1	PART 1	2	10	Insurrection raised by Nayan	He sent to a certain great lord, named Kaidu, a nephew of that monarch, but in rebellion against him, and desirous of doing him the greatest injury.	Kambalu	Kaidu				named		sent,named		doing				named	
1	PART 1	2	11	Insurrection raised by Nayan	To him Nayan proposed to attack the monarch on one side, while he himself advanced on another, so that they might acquire the dominion over his whole territory.	Kambalu	Nayan		advanced	advanced	propsed	proposed	proposed,advanced	proposed	advanced		proposed	advanced	proposed	
1	PART 1	2	12	Insurrection raised by Nayan	Kaidu declared himself well pleased, and promised to be ready at the time appointed.	Kambalu	Kaidu				declared,promised	declared	declared,promised,be	declared,be		be	be ,declared		declared,promised	
1	PART 1	2	13	Insurrection raised by Nayan	He could bring into the field 100,000 cavalry ; 	Kambalu														
1	PART 1	2	14	Insurrection raised by Nayan	and those two assembled a mighty army on horseback and foot, and marched against the great khan.	Kambalu	Khan		marched	marched			assembled							
1	PART 1	3	15	Kublai prepares to meet him	When Kublai learned these things, he was not at all alarmed, but declared, that he wished he might never wear a crown, nor hold sway over a kingdom, if he did not bring the traitors to an evil death.	Kambalu	Kublai				declared	declared	learned,was,declared,wished	was,declared	did	was	declared ,was		declared	
1	PART 1	3	16	Kublai prepares to meet him	He therefore made his whole army be prepared in twenty-two days, and so secretly, that nothing was known beyond his own council.	Kambalu				made			be,prepared,was,known	be,was,known		made,be,was	be ,known ,was	made		made
1	PART 1	3	17	Kublai prepares to meet him	He raised full 360,000 mounted soldiers, and 100,000 infantry ;	Kambalu							raised							
1	PART 1	3	18	Kublai prepares to meet him	and the reason of their number not being greater, was, that they consisted only of his huntsmen, and those immediately round his person, the rest being employed in carrying on distant wars ;	Kambalu							being,was,being,carrying	being,was,being	round,carrying	being,was,round,being	being ,being ,was	round	carrying	
1	PART 1	3	19	Kublai prepares to meet him	 for if he could have assembled his whole host, the multitude would have been such as no man could have numbered.	Kambalu							have,assembled,have,been,have	been		been	been			
1	PART 1	3	20	Kublai prepares to meet him	He then called his astrologers, and asked of them if he would be victorious ; 	Kambalu						called,asked	called,asked,be	be		be	asked ,be ,called			
1	PART 1	3	21	Kublai prepares to meet him	they answered, that he would do to his enemies according to his pleasure.	Kambalu							answered		do					
1	PART 1	4	22	Description of the Battle	The great khan having assembled these forces, took his departure, and in twenty days came to a vast plain, where Nayan had assembled all his troops, amounting to 400,000 warriors.	Kambalu	Khan,Nayan		came	came			having,assembled,took,had,assembled		came	took,came		came		came
1	PART 1	4	23	Description of the Battle	The khan took much care to scour the paths, and intercept all who could have carried the intelligence ; 	Kambalu	Khan				carried		took,have,carried		carried	took			carried	
1	PART 1	4	24	Description of the Battle	so that when he approached at dawn of day, the rebel was lying asleep in bed with a favourite wife, not having the least dread of his arrival, and, consequently, no guard on any side of the camp.	Kambalu			approached	approached			was,lying,having	was		approached,was	was	approached		approached
