Entity Name	Type	Page No
ABASCIA (Abyssinia)	kingdom of	324
ABASCIA (Abyssinia)	The inhibitants convertedby St Thomas	325
ABASCIA (Abyssinia)	Its king defated the ruler of Adel (Aden)	326
ABASCIA (Abyssinia)	Productions of the country	327
ABASCIA (Abyssinia)	Abraiamain (Bramins), order of	293,304-308
Achalech-Manji	province of	153
Achmae	chief minister of Kublai,his wicked administration	120-124
Achmae	Is slain by Vanku and Chenku	122
Acomat	the Saracen, contends for the Persian empire	339
Acomat	His batpers Argon	342
Acomat	Is seized and slain	344
Acre	a city of Palestine	99, 100
Adam's Peak	a mountain of Ceylon	290
Aden(Adel)	a kingdom and city of Eastern Africa	325
Aden(Adel)	Is invaded by the King of Absscia	326
Aden	a city and and kingdom of Arabia	327
Aden	Inhabitated by Sarcens,ib	
Aden	A great seat of Indian commerce, ib	
Aden	Its sultan assists Saladin in the siege of Acre	328
Alaodin	the old Man of the Mountain	227
Alaodin	His garden and castle	227,228
Alaodin	How he trained andemployed his assassins	228
Alaodin	His death	229
Alau	or Hoolaku, ruler of Eastern Tartar, sends ambassadors to the great khan (Mangou)	97
Alau	Makes war with Barka, whom he defeats	96, 352-355
Alau	Captures Bagdad and subverts the caliphate	87,96,97, 210
Alau	Takes and puts to death the Old Man of the Mountain	229
Alau	Is succeeded by Abaga	338
Altai Mountains	where Gengis and his descendants are interred	257,263
Amu (Bamoo)	province of	170
Angaman (Andaman) Islands		288,289
Ararat	a celebrated mountain of Armenia	207
Argiron(Erzeroum)	a city of Armenia	207
Argon	lord of the East	103
Argon	His battle with Barak	338
Argon	Contends with Acomat for the Persian empire	339
Argon	Is defeated and taken prisoner	343
Argon	His rescue and death	344, 345
Armenia the Greater		206, 207
Armenia the Lesser		205
Armenia the Lesser	Is subject to the Tartars, ib	
Arzinga	a city of Armenia the Greater	206
Ascelin	or Anselm, a Dominican friar, his mission to the Tartars, then encamped in Perna	60
Ascelin	Reception by Balothnoy the Tartar chief	61
Ascelin	His dismissal	63
Ascelin	Astrlogers and soothsayer	143
Baba Buzurg	worshipped by the Lurs	80
Baboons	etym of the word, II	318 ; 364
Babylon	Babylonia (Cairo or Egypt)	22,23; II- 180, 183; 373, 375
Babylon	Sultan of	374, 404
Babylonish garments		62
Baccadco	Indijo, II	317
Baccanor	II	322
Bacsi (Bakhshi)	ie Lamas	266, 267, 277
Bacsi (Bakhshi)	various changes of meaning	278; 279;368
Bacsi (Bakhshi)		398
Badakhshan (Badashan)		93, 97 ; 143, 146
Badakhshan (Badashan)	People of	146, 151
Badakhshan (Badashan)	Mirs of	147, 148, 152, 164
Badakhshan (Badashan)	Capital	148
Badakhshan (Badashan)	described	149
Badakhshan (Badashan)	Kings of, claim descent from Alexander	149, 151
Badakhshan (Badashan)	dialect	151
Badakhshan (Badashan)	scenery	151, 154
Badakhshan (Badashan)	depopulation of	149, 154
Badakhshan (Badashan)	Forms of the Name	152; 159
Badakhshan (Badashan)	River of (Upper Oxus)	162
Badaún	II	3C0
Badger	Rev G P, II	379
Badghis		141 ; II- 398
Badgir	or Wind-catchers, II	383, 384
Badruddin Lulu of Mosul		58
Bafk		85
Baft		105
Baghdad (Baudas q v)		60 seqq 
Baghdad (Baudas q v)	DASH Indigo of (Baccadeo), II 	317
Bagratidae	of Armenia	42
Bagratidae	of Georgia	51
Bahar	II 	360
Baháuddin Ayaz		113, 114
Bahrein	II	285
Bai		176
Baiberdon (Baiburt)		49
Baidu	II	407
Baidu	seizes the throne of Persia	407
Baidu	displaced and put to death by Ghazan	408
Baidu	alleged to be a Ciiristian	407, 408
Bailo	the title	371
Bailo	etym of	376
Baku	Naphtha of	46, 49
Baku	Sea of (Caspian)	56
Bala-Sagun		206
Balas Rubies		149
Balas Rubies		152, II- 298
Balc(Balkh)		142, 143
Baldwin de Courtenay	Emp of Constantinople	2
Bali	Island of, II	229
Bali	DASH (in Abyssinia), II 	371
Balios		376
Balish (a money of account)	II	174
Balista	medievally always a crossbow, II	122
Balkhash	Lake, II	389
Ballads	Genoese, on sea-fights at Ayas and Curzola, lxxii seqq	
Ballad-ul-Falfal(Malabar)	II	314
Ballard	Mr, II	317, 322
Balor	Balaur, Bilaur, Malaur, see Bolor	
Balsamodendron Muhul	II 	331, 332
Balti		152, 168
Balustrade	etym of the word, lxvii	
Bamboos	Multifarious uses of	271
Bamboos	Jungle of, on fire, II	30
Bamboos	largest size of, ib	
Bamboos	in Chekiang	177, and see Canes
Bamian	Caves at	148
Bamian	enormous recumbent image at	200
Bam-t-dunyah		166
Bamm		107
Bamó	River of, II	72, 74, 76
Bander-Abbasi		100, 105, 108, 112
Bangala	see Bengal	
Baptism accomjMnied by branding in Abyssinia	II	361, 366
Bara	II	248
Barac (Borrak qv) Khan of Chagatai		9,10
Barac (Borrak qv) Khan of Chagatai	his war with Arghun, II	397, 398
Barberino	Francesco da, lxv	
Barberino	mentions Cathay,cxli 	110
Bargu	Plain of	237, 238
Barguerlac	Bird called (Syrrhaptes Pallasii)	237, 239
Barguchin Tugrum		238
