Count	Annotated Travelled Locations	Found Travelled Locations	Before Count Annotated Location	Before Count Found Location	After Count Annotated Location	After Count Found Location
1	Kambalu	Kambalu	0	0	60	52
2	Pulisangan	Pulisangan	1	1	59	51
3	Geo-gui	Geo-gui	2	2	58	50
4	Ta-in-fu	Ta-in-fu	3	3	57	49
5	Pi-an-fu	Pi-an-fu	4	4	56	48
6	Caya-fu		5		55	
7	Ca-cian-fu	Ca-cian-fu	28	5	32	47
8	Quen-gian-fu	Quen-gian-fu	7	6	53	46
9	Cun-chin	Cun-chin	8	7	52	45
10	Achalech-Manji	Achalech-Manji	9	8	51	44
11	Sin-din-fu	Sin-din-fu	26	19	34	33
12	Thibet		11		49	
13	Kain-du		12		48	
14	Brius	Brius	13	10	47	42
15	Caraian		14		46	
16	Yaci	Yaci	15	11	45	41
17	Karazan	Karazan	16	13	44	39
18	Kardanan	Kardanan	17	14	43	38
19	Vociam		18		42	
20	Anniz	Anniz	19	15	41	37
21	Mien		20		40	
22	Bangala		21		39	
23	Kangigu		22		38	
24	Amu		23		37	
25	Tholoman	Tholoman	24	17	36	35
26	Singul	Singul	25	18	35	34
27	Sin-din-fu	Sin-din-fu	26	19	34	33
28	Gin-gui	Gin-gui	27	20	33	32
29	Ca-cian-fu	Ca-cian-fu	28	5	32	47
30	Cian-glu	Cian-glu	29	21	31	31
31	Cian-gli	Cian-gli	30	22	30	30
32	Condi-fu	Condi-fu	31	23	29	29
33	Sin-gui	Sin-gui	47	24	13	28
34	Lin-gui	Lin-gui	33	25	27	27
35	Pin-gui	Pin-gui	34	26	26	26
36	Cin-gui	Cin-gui	35	27	25	25
37	Kara-moran	Kara-moran		28	24	24
38	Manji	Manji	37	40	23	12
39	Koi-gan-zu	Koi-gan-zu	38	30	22	22
40	Pau-chym	Pau-chym	39	31	21	21
41	Chaym	Chaym	40	32	20	20
42	Tin-gui	Tin-gui	41	33	19	19
43	Yan-gui	Yan-gui	42	36	18	16
44	Sin-gui	Sin-gui	47	24	13	28
45	Kiang		44		16	
46	Cin-ghian-fu	Cin-ghian-fu	45	38	15	14
47	Cin-ghin-gui	Cin-ghin-gui	46	37	14	15
48	Sin-gui	Sin-gui	47	24	13	28
49	Un-gui	Un-gui	52	45	12	7
50	Ughim	Ughim	49	41	11	11
51	Kin-sai	Kin-sai	50	44	10	8
52	Tam-pin-gui	Tam-pin-gui	51	43	9	9
53	Un-gui	Un-gui	52	45	8	7
54	Chen-gui	Chen-gui	53	46	7	6
55	Cian-cian		54		6	
56	Can-gui	Can-giu	55	47	5	5
57	Fu-gui	Fu-gui	58	50	2	2
58	Que-lin-fu	Que-lin-fu	57	49	3	3
59	Fu-gui	Fu-gui	58	50	2	2
60	Zai-tun	Zai-tun	59	51	1	1
61	Ti-min-gui		60		0	
