Count	Annotated Travelled Locations	Found Travelled Locations
1	Kambalu	Kambalu
2	Pulisangan	
3	Geo-gui	Geo-gui
4	Ta-in-fu	
5	Pi-an-fu	Pi-an-fu
6	Caya-fu	
7	Ca-cian-fu	Ca-cian-fu
8	Quen-gian-fu	Quen-gian-fu
9	Cun-chin	Cun-chin
10	Achalech-Manji	Achalech-Manji
11	Sin-din-fu	Sin-din-fu
12	Thibet	
13	Kain-du	
14	Brius	Brius
15	Caraian	
16	Yaci	Yaci
17	Karazan	Karazan
18	Kardanan	
19	Vociam	
20	Anniz	
21	Mien	Mien
22	Bangala	
23	Kangigu	
24	Amu	
25	Tholoman	
26	Singul	
27	Sin-din-fu	Sin-din-fu
28	Gin-gui	Gin-gui
29	Ca-cian-fu	Ca-cian-fu
30	Cian-glu	Cian-glu
31	Cian-gli	Cian-gli
32	Condi-fu	
33	Sin-gui	Sin-gui
34	Lin-gui	Lin-gui
35	Pin-gui	Pin-gui
36	Cin-gui	
37	Kara-moran river	
38	Manji	Manji
39	Koi-gan-zu	Koi-gan-zu
40	Pau-chym	Pau-chym
41	Chaym	
42	Tin-gui	Tin-gui
43	Yan-gui	Yan-gui
44	Sin-gui	Sin-gui
45	Kiang	
46	Cin-ghian-fu	Cin-ghian-fu
47	Cin-ghin-gui	
48	Sin-gui	
49	Un-gui	Un-gui
50	Ughim	Ughim
51	Kin-sai	Kin-sai
52	Tam-pin-gui	
53	Un-gui	Un-gui
54	Chen-gui	Chen-gui
55	Cian-cian	
56	Can-gui	
57	Fu-gui	Fu-gui
58	Que-lin-fu	Que-lin-fu
59	Fu-gui	Fu-gui
60	Zai-tun	Zai-tun
61	Ti-min-gui	
