Count	Annotated Travelled Locations	Found Travelled Locations
1	Kambalu	Kambalu
2	Pulisangan	
3	Geo-gui	
4	Ta-in-fu	
5	Pi-an-fu	
6	Caya-fu	
7	Ca-cian-fu	Ca-cian-fu
8	Quen-gian-fu	
9	Cun-chin	
10	Achalech-Manji	
11	Sin-din-fu	
12	Thibet	
13	Kain-du	
14	Brius	
15	Caraian	
16	Yaci	
17	Karazan	
18	Kardanan	
19	Vociam	
20	Anniz	
21	Mien	Mien
22	Bangala	
23	Kangigu	
24	Amu	
25	Tholoman	
26	Singul	
27	Sin-din-fu	
28	Gin-gui	
29	Ca-cian-fu	Ca-cian-fu
30	Cian-glu	Cian-glu
31	Cian-gli	Cian-gli
32	Condi-fu	
33	Sin-gui	Sin-gui
34	Lin-gui	
35	Pin-gui	Pin-gui
36	Cin-gui	
37	Kara-moran river	
38	Manji	Manji
39	Koi-gan-zu	
40	Pau-chym	
41	Chaym	
42	Tin-gui	
43	Yan-gui	
44	Sin-gui	Sin-gui
45	Kiang	
46	Cin-ghian-fu	
47	Cin-ghin-gui	
48	Sin-gui	Sin-gui
49	Un-gui	
50	Ughim	
51	Kin-sai	Kin-sai
52	Tam-pin-gui	
53	Un-gui	
54	Chen-gui	
55	Cian-cian	
56	Can-gui	
57	Fu-gui	
58	Que-lin-fu	
59	Fu-gui	
60	Zai-tun	
61	Ti-min-gui	
