Count	Annotated Travel
1	Kambalu 
2	Pulisangan
3	Geo-gui 
4	Ta-in-fu 
5	Pi-an-fu
6	Ca-cian-fu
7	Quen-gian-fu
8	Cun-chin
9	Achalech-Manji
10	Manji
11	Brius
12	Yaci 
13	Chiaci 
14	Karazan
15	Kardandan
16	Anniz 
17	India
18	Tholoman
19	Sinugul
20	Sin-din-fu
21	Gin-gui
22	Cian-glu
23	Cian-gli 
24	Condi-fu
25	Sin-gui
26	Lin-gui
27	Pin-gui 
28	Cin-gui
29	Kara-moran
30	Manji 
31	Koi-gan-zu
32	Pau-chym
33	Chaym
34	Tin-gui 
35	Yan-gui
36	Sa-yan-fu
37	Yan-gui
38	Cin-ghin-gui
39	Cin-ghian-fu
40	Kin-sai 
41	Manji
42	Ughim
43	Kin-sai 
44	Tam-pin-gui
45	Kin-sai
46	Un-gui
47	Chen-gui
48	Can-giu
49	Fu-gui
50	Que-lin-fu
51	Fu-gui
52	Zai-tun 
53	Alexandria
