Entity	Original count	Found count	WordNet count	FrameNet count	Voted count	Paper count
address	2	0	3	69	59	8
addressed	1	0	2	2	2	2
addressing	1	0	1	1	1	1
admitted	1	1	1	1	1	1
announced	3	3	0	0	0	1
	103	81	3	3	3	3
called	3	45	45	0	45	0
carried	2	0	10	0	0	10
carrying	1	0	4	0	0	4
come	1	0	0	0	0	0
communicate	1	0	1	0	0	0
communicated	1	0	1	0	0	0
conveyed	2	7	7	0	7	7
declared	3	3	3	3	3	3
describe	6	0	6	6	6	6
described	10	0	10	10	10	10
describing	1	0	1	1	1	1
exclaimed	1	1	1	1	1	1
explained	1	1	1	1	1	1
express	1	0	1	0	0	1
expressed	1	0	1	0	0	1
inform	2	2	2	0	2	2
informed	3	3	3	0	3	3
mention	3	3	3	3	3	3
mentioned	10	10	10	10	10	10
mentioning	2	2	2	2	2	2
named	47	0	47	0	0	47
noted	1	1	1	1	1	1
preach	1	1	1	1	1	1
profess	1	0	1	1	1	1
professed	1	0	1	1	1	1
promised	1	0	1	0	0	1
proposed	1	2	2	2	2	2
propsed	1	0	0	0	0	0
relate	3	3	3	3	3	3
related	1	1	1	1	1	1
said	22	22	22	22	22	22
say	7	8	8	8	8	8
saying	4	4	4	4	4	4
speak	4	4	4	4	4	4
spoken	1	1	1	1	1	1
state	1	1	1	1	1	1
stated	3	3	3	3	3	3
suggested	1	1	1	1	1	1
tell	41	41	41	41	41	41
told	8	8	8	8	8	8
visit	1	0	1	0	0	0
