Entity	Original count	Found count	WordNet count	FrameNet count	Voted count	Paper count
Continuing	1	0	1	0	0	0
Leaving	1	0	1	0	0	0
abandon	1	1	0	0	0	1
	106	34	33	38	19	0
advanced	3	3	3	0	3	2
approach	1	2	0	2	2	61
approached	1	1	0	1	1	1
approaching	1	1	0	1	1	1
arrived	2	2	2	2	2	2
came	10	10	10	10	10	10
come	15	15	15	15	15	15
coming	2	2	2	2	2	2
cross	1	1	0	1	1	0
crossed	4	6	0	6	6	0
depart	4	4	4	4	4	4
departed	5	5	5	5	5	5
departing	2	2	2	2	2	2
departs	1	0	0	0	0	0
driving	2	2	2	0	2	0
enter	3	3	0	3	3	3
entered	2	2	0	2	2	2
entering	4	4	0	4	4	4
escape	1	1	0	1	1	1
escaped	1	1	0	1	1	1
fled	2	2	0	0	0	0
follow	1	1	1	0	1	0
go	27	27	27	27	27	27
going	4	4	4	4	4	4
gone	2	2	2	2	2	2
lead	2	4	4	0	4	0
leave	2	2	2	2	2	2
leaving	5	5	5	5	5	5
led	2	4	4	0	4	0
left	3	4	4	4	4	4
march	1	1	0	0	0	0
marched	4	4	0	0	0	0
moving	3	3	3	3	3	3
navigating	1	1	1	0	1	1
pass	7	0	7	7	7	0
passed	4	0	5	5	5	0
passing	7	0	7	7	7	0
proceed	1	0	1	0	0	0
pursue	1	1	1	0	1	0
pursued	1	3	3	0	3	0
pursuing	2	2	2	0	2	0
quitting	1	0	1	0	0	1
ran	2	2	2	2	2	2
reach	4	4	4	4	4	4
reaching	4	4	4	4	4	4
returned	7	7	7	7	7	7
returning	3	3	3	3	3	3
revisit	1	0	0	0	0	0
ride	1	1	1	1	1	0
riding	3	0	0	3	0	0
running	1	1	1	1	1	1
runs	1	0	0	0	0	0
rush	1	1	1	0	1	0
rushed	4	5	5	0	5	0
sailing	1	1	1	1	1	1
start	1	0	1	0	0	1
swam	1	1	1	0	1	0
travel	2	2	2	2	2	2
travelled	5	5	5	5	5	5
travelling	4	4	4	4	4	4
visit	1	0	1	1	1	1
visited	3	0	3	3	3	3
visiting	1	0	1	1	1	1
walking	1	1	1	0	1	0
went	9	10	10	10	10	10
