Entity	Original count	Found count
Achalech-Manji	2	2
Alexandria	1	1
Amu	3	2
	23	115
Babylon	1	0
Bangala	6	2
Brius	1	0
Ca-cian-fu	3	0
Cai-gui	1	0
Can-giu	1	1
Caraian	6	0
Cathay	16	9
Caya-fu	1	0
Chaym	2	1
Chen-gui	1	0
China	1	1
Cian-cian	1	1
Cian-gli	2	2
Cian-glu	2	2
Cianganor	1	1
Cin-ghian-fu	3	0
Condi-fu	2	2
Cun-chin	1	1
Cyn-gui	2	1
Facfur	3	0
Fu-gui	10	4
Gan-fu	2	1
Geo-gui	2	0
Gin-gui	2	1
India	11	11
Kain-du	2	0
Kambalu	20	17
Kangigu	2	2
Karazan	2	2
Kardandan	2	2
Kataia	2	0
Kiang	2	0
Kin-sai	16	12
Koi-gan-zu	4	0
Lin-gui	2	0
Manji	31	27
Mien	9	2
Nan-ghin	2	1
Pau-chym	3	3
Pi-an-fu	2	0
Pin-gui	2	1
Pulisangan	1	0
Que-lin-fu	1	0
Quen-gian-fu	1	0
Shandu	2	2
Sin-din-fu	2	0
Sin-gui	9	4
Sinugul	1	1
Tam-pin-gui	1	0
Tebet	4	0
Thibet	2	1
Tholoman	3	1
Ti-min-gui	1	0
Tin-gui	2	0
Ughim	2	0
Un-gui	3	2
Un-quem	1	1
Ungrat	1	0
Venice	2	2
Vociam	4	4
Yaci	2	1
Yan-gui	2	1
Zai-tun	2	2
son	10	0
