Entity	Original count	Found count
Achmac	9	9
Adam	1	0
Aguil	1	0
Bayam	8	9
	8	174
Bayam Cinqsan	1	0
Chenku	4	0
Christ	1	0
Dor	5	5
Essetemur	1	0
Facfur	3	3
Gengis	4	5
Gengis Khan	1	0
Gyngym Khan	1	0
Jove	1	0
Kaidu	3	3
Khan	125	0
Kogatai	3	3
Kogatin	1	0
Kublai	6	0
Litan	2	2
Maffio	2	0
Maffio Polo	1	0
Mangalu	3	3
Mangou	1	1
Marco	5	0
Marco Polo	4	0
Marsarchis	1	0
Messer Marco	2	0
Messer Marco Polo	1	0
Messeri Nicolo	2	0
Migam	1	0
Mohammed	1	0
Mongatai	1	0
Moses	1	0
Nayan	11	11
Nescardin	3	3
Nicolo	1	0
Prester John	5	5
Sogomombar Khan	1	0
Temur	2	2
Vanku	5	0
bulangazi	1	0
