chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Verb subject	Verb object	Verb object2	Tagged sentence
1	PART 1	1	On Armenia the Lesser	1	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.	Armenia the Lesser		great Armenia,lesser Armenia					You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.
1	PART 1	1	On Armenia the Lesser	2	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; 								This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; 
1	PART 1	1	On Armenia the Lesser	3	but I must tell you the air is not very healthy.								but I must tell you the air is not very healthy.
1	PART 1	1	On Armenia the Lesser	4	The gentry used formerly to be valiant and good at arms ; 								The gentry used formerly to be valiant and good at arms ; 
1	PART 1	1	On Armenia the Lesser	5	but now they are mean and vile, and remarkable only for being hard drinkers.								but now they are mean and vile, and remarkable only for being hard drinkers.
1	PART 1	1	On Armenia the Lesser	6	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.			Laias,India,Venice,Pisa,Genoa,Euphrates	come				"On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, <motion-vb fn-frame=""Arriving"">come</motion-vb> to purchase."
1	PART 1	1	On Armenia the Lesser	7	By this town we enter the province of Turcomania.			Turcomania	enter	we	province		"By this town we <motion-vb fn-frame=""Arriving"">enter</motion-vb> the <loc fe=""goal"">province of Turcomania</loc>."
1	PART 1	2	On Turcomania	8	In Turcomania are three distinct races of men :-The Turcomans adore Mohammed, and are simple people, speaking a very rude language.	Turcomania,Como,Casserie,Sevasto	Mohammed	Turcomania					In Turcomania are three distinct races of men :-The Turcomans adore Mohammed, and are simple people, speaking a very rude language.
1	PART 1	2	On Turcomania	9	They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; 								They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; 
1	PART 1	2	On Turcomania	10	and I assure you that they rear excellent horses and mules of great value.								and I assure you that they rear excellent horses and mules of great value.
1	PART 1	2	On Turcomania	11	The two others are Armenians and Greeks, who dwell mingled in cities, and subsist by merchandise and manufactures ;								The two others are Armenians and Greeks, who dwell mingled in cities, and subsist by merchandise and manufactures ;
1	PART 1	2	On Turcomania	12	 they work carpets and crimson silk, the richest and most beautiful in the whole world.								 they work carpets and crimson silk, the richest and most beautiful in the whole world.
1	PART 1	2	On Turcomania	13	They have many towns, of which the principal are Como, Casserie, and Sevasto.			Como, Casserie,Sevasto					They have many towns, of which the principal are Como, Casserie, and Sevasto.
1	PART 1	2	On Turcomania	14	They are subject to the Eastern Tartars.								They are subject to the Eastern Tartars.
1	PART 1	2	On Turcomania	15	Now, let us leave them, and speak of Armenia the Greater.			Armenia the Greater	leave	us	them		"Now, let us <motion-vb fn-frame=”Departing"">leave</motion-vb> <loc fe=”source”>them</loc>, and speak of Armenia the Greater."
1	PART 1	3	On Armenia the Greater	16	Armenia the Greater is a large country, and, at the entrance of it is a city called Arzinga, in which is made the best buckram in the world.	Armenia the Greater, Arzinga,Argiron,Darzizi		Armenia the Greater,Arzinga					Armenia the Greater is a large country, and, at the entrance of it is a city called Arzinga, in which is made the best buckram in the world.
1	PART 1	3	On Armenia the Greater	17	There are several baths of warm spring water, the best and most beautiful any where to be found.								There are several baths of warm spring water, the best and most beautiful any where to be found.
1	PART 1	3	On Armenia the Greater	18	There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; 			Arzinga					There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; 
1	PART 1	3	On Armenia the Greater	19	there are also Argiron and Darzizi.			Argiron,Darzizi					there are also Argiron and Darzizi.
1	PART 1	3	On Armenia the Greater	20	I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ;			Levant					I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ;
1	PART 1	3	On Armenia the Greater	21	 but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.								 but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.
1	PART 1	3	On Armenia the Greater	22	Now, in this Armenia is the ark of Noah on a great mountain.		Noah	Armenia					Now, in this Armenia is the ark of Noah on a great mountain.
1	PART 1	3	On Armenia the Greater	23	The circuit of its base cannot be traversed in less than two days ; 				traversed				"<loc fe=”Area”>The circuit of its base</loc> cannot be <motion-vb fn-frame=""Traversing"">traversed</motion-vb> in less than two days ; "
1	PART 1	3	On Armenia the Greater	24	and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.								and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.
1	PART 1	3	On Armenia the Greater	25	On the lower declivities, the melted snows cause an abundant vegetation, and afford rich pastures for the cattle which in summer resort thither from all the surrounding  countries.								On the lower declivities, the melted snows cause an abundant vegetation, and afford rich pastures for the cattle which in summer resort thither from all the surrounding  countries.
1	PART 1	3	On Armenia the Greater	26	To the south-east it borders on a kingdom called Mosul, inhabited by Jacobite and Nestorian Christians, of whom we will mention more hereafter.			Mosul					To the south-east it borders on a kingdom called Mosul, inhabited by Jacobite and Nestorian Christians, of whom we will mention more hereafter.
1	PART 1	3	On Armenia the Greater	27	On the north  it extends to the Georgians, and on that frontier is a fountain whence rises oil in such abundance that a hundred ships might be at once loaded with it.								On the north  it extends to the Georgians, and on that frontier is a fountain whence rises oil in such abundance that a hundred ships might be at once loaded with it.
1	PART 1	3	On Armenia the Greater	28	It is not good for eating, but very fit for fuel, for anointing the camels in maladies of the skin, and for other purposes ; 								It is not good for eating, but very fit for fuel, for anointing the camels in maladies of the skin, and for other purposes ; 
1	PART 1	3	On Armenia the Greater	29	for which reason people come from a great distance for it, and nothing else is burned in all this country.								for which reason people come from a great distance for it, and nothing else is burned in all this country.
1	PART 1	3	On Armenia the Greater	30	Now let us quit Armenia, and tell of Georgia.			Armenia,Georgia	quit	us	Armenia		"Now let us <motion-vb fn-frame=""Quitting_a_place"">quit</motion-vb> <loc fe=”source”>Armenia</loc>, and tell of Georgia."
1	PART 1	4	On Georgia and its Productions	31	In Georgia  is a king always called David Melik, which means David the King ; 	Georgia,Teflis	David Melik,David the King	Georgia					In Georgia  is a king always called David Melik, which means David the King ; 
1	PART 1	4	On Georgia and its Productions	32	he is subject to the Tartars ; 								he is subject to the Tartars ; 
1	PART 1	4	On Georgia and its Productions	33	and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.								and anciently all the monarchs of this province were born with the mark of an eagle on their left shoulder.
1	PART 1	4	On Georgia and its Productions	34	They are a handsome people, good archers, and valiant in battle.								They are a handsome people, good archers, and valiant in battle.
1	PART 1	4	On Georgia and its Productions	35	They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.								They are Christians of the Greek church, and wear their hair close shaven in the manner of clergy.
1	PART 1	4	On Georgia and its Productions	36	This is the province which Alexander could not pass through on account of the narrowness of the path 		Alexander		pass	Alexander	province		"This is the <loc fe=""goal"">province</loc> which Alexander could not <motion-vb fn-frame=""Traversing"">pass</motion-vb> through on account of the narrowness of the path "
1	PART 1	4	On Georgia and its Productions	37	 because on one side is the sea, and on the other very high mountains, over which it is impossible to ride ; 				ride				" because on one side is the sea, and on the other very high mountains, over which it is impossible to <motion-vb fn-frame=""Self_motion"">ride</motion-vb> ; "
1	PART 1	4	On Georgia and its Productions	38	and, as this strait continues above four leagues, a few men might hold out against the whole world.								and, as this strait continues above four leagues, a few men might hold out against the whole world.
1	PART 1	4	On Georgia and its Productions	39	This was the reason why he could not pass;				pass	he			"This was the reason why he could not <motion-vb fn-frame=""Traversing"">pass</motion-vb>;"
1	PART 1	4	On Georgia and its Productions	40	but he built a very strong tower, that no one might come upon him from the other side, and it is called the Iron Gate.			Iron Gate	come	one			"but he built a very strong tower, that no one might <motion-vb fn-frame=""Arriving"">come</motion-vb> upon <loc fe=”goal”>him</loc> from the <loc fe=”source”>other side</loc>, and it is called the Iron Gate."
1	PART 1	4	On Georgia and its Productions	41	This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; 		Alexander						This is the place mentioned in the book of Alexander, where he enclosed the Tartars within their mountains ; 
1	PART 1	4	On Georgia and its Productions	42	though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.								though the Tartars did not exist at that time, but a certain people called Comani, and other races besides.
