	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs
0	1	PART 1	1	On Armenia the Lesser	1	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.	Armenia the Lesser		great Armenia,lesser Armenia	know	know
1	1	PART 1	1	On Armenia the Lesser	2	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; 				hawking	hawking
2	1	PART 1	1	On Armenia the Lesser	3	but I must tell you the air is not very healthy.				tell	tell
3	1	PART 1	1	On Armenia the Lesser	4	The gentry used formerly to be valiant and good at arms ; 				used,be	used,be
4	1	PART 1	1	On Armenia the Lesser	5	but now they are mean and vile, and remarkable only for being hard drinkers.				being	being
5	1	PART 1	1	On Armenia the Lesser	6	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.			Laias,India,Venice,Pisa,Genoa,Euphrates	named,brought,come,purchase	named,brought,come,purchase
6	1	PART 1	1	On Armenia the Lesser	7	By this town we enter the province of Turcomania.			Turcomania		
7	1	PART 1	2	On Turcomania	8	In Turcomania are three distinct races of men :-The Turcomans adore Mohammed, and are simple people, speaking a very rude language.	Turcomania,Como,Casserie,Sevasto	Mohammed	Turcomania	speaking	speaking
8	1	PART 1	2	On Turcomania	9	They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; 					
9	1	PART 1	2	On Turcomania	10	and I assure you that they rear excellent horses and mules of great value.					
10	1	PART 1	2	On Turcomania	11	The two others are Armenians and Greeks, who dwell mingled in cities, and subsist by merchandise and manufactures ;				mingled	mingled
11	1	PART 1	2	On Turcomania	12	 they work carpets and crimson silk, the richest and most beautiful in the whole world.					
12	1	PART 1	2	On Turcomania	13	They have many towns, of which the principal are Como, Casserie, and Sevasto.			Como, Casserie,Sevasto		
13	1	PART 1	2	On Turcomania	14	They are subject to the Eastern Tartars.					
14	1	PART 1	2	On Turcomania	15	Now, let us leave them, and speak of Armenia the Greater.			Armenia the Greater	let,leave,speak	let,leave,speak
15	1	PART 1	3	On Armenia the Greater	16	Armenia the Greater is a large country, and, at the entrance of it is a city called Arzinga, in which is made the best buckram in the world.	Armenia the Greater, Arzinga,Argiron,Darzizi		Armenia the Greater,Arzinga	called,made	called,made
16	1	PART 1	3	On Armenia the Greater	17	There are several baths of warm spring water, the best and most beautiful any where to be found.				be,found	be,found
17	1	PART 1	3	On Armenia the Greater	18	There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; 			Arzinga		
18	1	PART 1	3	On Armenia the Greater	19	there are also Argiron and Darzizi.			Argiron,Darzizi		
19	1	PART 1	3	On Armenia the Greater	20	I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ;			Levant		
20	1	PART 1	3	On Armenia the Greater	21	 but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.				remain,live	remain,live
21	1	PART 1	3	On Armenia the Greater	22	Now, in this Armenia is the ark of Noah on a great mountain.		Noah	Armenia		
22	1	PART 1	3	On Armenia the Greater	23	The circuit of its base cannot be traversed in less than two days ; 				be,traversed	be,traversed
23	1	PART 1	3	On Armenia the Greater	24	and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.				rendered,increased	rendered,increased
24	1	PART 1	3	On Armenia the Greater	25	On the lower declivities, the melted snows cause an abundant vegetation, and afford rich pastures for the cattle which in summer resort thither from all the surrounding  countries.				afford	afford
25	1	PART 1	3	On Armenia the Greater	26	To the south-east it borders on a kingdom called Mosul, inhabited by Jacobite and Nestorian Christians, of whom we will mention more hereafter.			Mosul	called,inhabited,mention	called,inhabited,mention
26	1	PART 1	3	On Armenia the Greater	27	On the north  it extends to the Georgians, and on that frontier is a fountain whence rises oil in such abundance that a hundred ships might be at once loaded with it.				be,loaded	be,loaded
27	1	PART 1	3	On Armenia the Greater	28	It is not good for eating, but very fit for fuel, for anointing the camels in maladies of the skin, and for other purposes ; 				eating,anointing	eating,anointing
28	1	PART 1	3	On Armenia the Greater	29	for which reason people come from a great distance for it, and nothing else is burned in all this country.				burned	burned
29	1	PART 1	3	On Armenia the Greater	30	Now let us quit Armenia, and tell of Georgia.			Armenia,Georgia	let,quit,tell	let,quit,tell
30	1	PART 1	4	On Georgia and its Productions	31	In Georgia  is a king always called David Melik, which means David the King ; 	Georgia,Teflis	David Melik,David the King	Georgia	called	called
31	1	PART 1	4	On Georgia and its Productions	32	he is subject to the Tartars ; 					
