Count	Annotated Travelled Locations	Found Travelled Locations
1	Armenia the Lesser	
2	Laias	
3	Turcomania	
4	Armenia the Greater	
5	Arzinga	Arzinga
6	Armenia	Armenia
7	Georgia	Georgia
8	Teflis	Teflis
9	Mosul	Mosul
10	Baldach	Baldach
11	Toris	
12	Yrac	Yrac
13	Mohammed	
14	Baldach	Baldach
15	Persia	Persia
16	Sava	Sava
17	Yasdi	Yasdi
18	Creman	Creman
19	Camandu	
20	Reobarle	Reobarle
21	Formosa	
22	Cormos	Cormos
23	Formosa	
24	Cormos	Cormos
25	Creman	Creman
26	Cobinam	Cobinam
27	Tonocain	Tonocain
28	Sapurgan	Sapurgan
29	Balk	Balk
30	Dogana	Dogana
31	Taikan	Taikan
32	Scassem	Scassem
33	Badascian	
34	Pascia	Pascia
35	Kesimur	
36	Badascian	
37	Vokhan	Vokhan
38	Pamier	
39	Belor	Belor
40	Cascar	Cascar
41	Samarcan	Samarcan
42	Yarcan	Yarcan
43	Cotan	
44	Pein	
45	Ciarcian	Ciarcian
46	Lop	
47	Sacchion	Sacchion
48	Tangut	Tangut
49	Kamul	
50	Ginghintalas	
51	Succiur	Succiur
52	Canpicion	Canpicion
53	Ezina	Ezina
54	Karakorum	
55	Bangu	Bangu
56	Canpicion	Canpicion
57	Erginul	Erginul
58	Egrigaia	Egrigaia
59	Tenduc	Tenduc
60	Cianganor	Cianganor
61	Gog and Magog	
62	Sindacui	Sindacui
63	Chandu	Chandu
