chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Travel Verb Phrases	Travel Noun Phrases	Travel Phrases	Travelled Location
1	PART 1	1	On Armenia the Lesser	1	You must know there are two Armenias, a great and a lesser one, which last has a king who rules with pure justice, and is subject to the Tartars.	Armenia the Lesser		great Armenia,lesser Armenia					
1	PART 1	1	On Armenia the Lesser	2	This region contains many cities and castles, and abundance of all things, with beasts and birds for hunting and hawking ; 								
1	PART 1	1	On Armenia the Lesser	3	but I must tell you the air is not very healthy.								
1	PART 1	1	On Armenia the Lesser	4	The gentry used formerly to be valiant and good at arms ; 								
1	PART 1	1	On Armenia the Lesser	5	but now they are mean and vile, and remarkable only for being hard drinkers.								
1	PART 1	1	On Armenia the Lesser	6	On the seacoast is a city named Laias,which carries on a very great trade ; for thither all the spices, rich cloths, and other precious articles, are brought from India across the Euphrates, which the merchants of Venice, of Pisa, and of Genoa, come to purchase.			Laias,India,Venice,Pisa,Genoa,Euphrates	come	come to purchase			
1	PART 1	1	On Armenia the Lesser	7	By this town we enter the province of Turcomania.			Turcomania	enter	enter the province of Turcomania	the province of Turcomania,the province,Turcomania	the province of Turcomania	Turcomania
1	PART 1	2	On Turcomania	8	In Turcomania are three distinct races of men :-The Turcomans adore Mohammed, and are simple people, speaking a very rude language.	Turcomania,Como,Casserie,Sevasto	Mohammed	Turcomania					
1	PART 1	2	On Turcomania	9	They live amid mountains and valleys where there is good pasturage for cattle, by which they subsist ; 								
1	PART 1	2	On Turcomania	10	and I assure you that they rear excellent horses and mules of great value.								
1	PART 1	2	On Turcomania	11	The two others are Armenians and Greeks, who dwell mingled in cities, and subsist by merchandise and manufactures ;								
1	PART 1	2	On Turcomania	12	 they work carpets and crimson silk, the richest and most beautiful in the whole world.								
1	PART 1	2	On Turcomania	13	They have many towns, of which the principal are Como, Casserie, and Sevasto.			Como, Casserie,Sevasto					
1	PART 1	2	On Turcomania	14	They are subject to the Eastern Tartars.								
1	PART 1	2	On Turcomania	15	Now, let us leave them, and speak of Armenia the Greater.			Armenia the Greater	leave	leave them , and speak of Armenia the Greater	them,Armenia,the Greater		
1	PART 1	3	On Armenia the Greater	16	Armenia the Greater is a large country, and, at the entrance of it is a city called Arzinga, in which is made the best buckram in the world.	Armenia the Greater, Arzinga,Argiron,Darzizi		Armenia the Greater,Arzinga					
1	PART 1	3	On Armenia the Greater	17	There are several baths of warm spring water, the best and most beautiful any where to be found.								
1	PART 1	3	On Armenia the Greater	18	There are many castles, and cities, among which the noblest is Arzinga, the seat of an archbishop, and the metropolis of the whole district; 			Arzinga					
1	PART 1	3	On Armenia the Greater	19	there are also Argiron and Darzizi.			Argiron,Darzizi					
1	PART 1	3	On Armenia the Greater	20	I assure you the province is very large, and during the summer all the Tartars of the Levant reside here with their flocks and herds, on account of its rich pastures ;			Levant					
1	PART 1	3	On Armenia the Greater	21	 but in winter they cannot remain because of the severe cold and snow, amid which the animals could not live.								
1	PART 1	3	On Armenia the Greater	22	Now, in this Armenia is the ark of Noah on a great mountain.		Noah	Armenia					
1	PART 1	3	On Armenia the Greater	23	The circuit of its base cannot be traversed in less than two days ; 				traversed	traversed in less than two days	less than two days		
1	PART 1	3	On Armenia the Greater	24	and the ascent is rendered impracticable by the snow on its summit, which never dissolves, but is increased by each successive fall.								
