Entity	Original count	Found count		
Altai	2	1		
Aras	1	0		
Argiron	1	0		
Armenia	4	6		
Armenia the Greater	2	0		
Arzinga	2	2		52
Ava	1	1		70
Badascian	5	2		
Badasian	1	0		
Bagdad	1	1		
Baldach	8	5		
Balk	3	1		
Bangu	1	1		
Bascra	1	1		
Belor	1	1		
Bethlehem	1	1		
Calacian	1	1		
Camandu	1	0		
Cangui	1	0		
Canosalmi	1	1		
Canpicion	2	0		
Cardistan	1	1		
Cascar	2	2		
Casserie	1	0		
Casum	1	0		
Cathay	6	3		
Cerazi	1	0		
Chandu	1	0		
Chesciemur	1	0		
Chisi	3	2		
Cianganor	1	1		
Ciarcian	3	0		
Cielstan	1	0		
Ciorcia	1	0		
Cobinam	3	3		
Como	1	1		
Cormos	4	3		
Cotan	3	2		
Creman	7	2		
Cremosor	1	1		
Curmosa	1	1		
Damascus	1	1		
Darzizi	1	0		
Dilivar	1	1		
Dogana	1	0		
Egrigaia	1	1		
Erginul	2	2		
Euphrates	2	0		
Ezina	2	2		
Formosa	1	1		
Geihon	1	1		
Genoa	2	2		
Georgia	2	2		
Ginghintalas	1	1		
Gog and Magog	1	0		
Great Armenia	1	0		
Great Turkey	2	0		
Herdil	1	0		
Idifu	1	1		
India	10	12		
Indian sea	1	0		
Iron Gate	1	0		
Istanit	1	0		
Kamul	2	2		
Karakorum	2	2		
Kesimur	1	0		
Kur	1	1		
Kurdistan	1	1		
Laias	1	1		
Levant	2	0		
Lighinan	1	1		
Lop	1	0		
Lor	1	0		
Mosul	5	5		
Mulecte	1	1		
Mungul	1	0		
Pascia	1	1		
Pasciai	1	0		
Pein	1	1		
Persia	8	8		
Pisa	1	1		
Reobarle	2	1		
Rome	4	3		
Ruemedan Achomac	2	0		
Saba	1	0		
Sacchion	1	0		
Samarcan	3	0		
Sapurgan	1	1		
Sava	1	1		
Scassem	2	1		
Sevasto	1	1		
Sindacui	1	1		
Singuy	1	1		
Soucara	1	0		
Succiur	1	1		
Taikan	1	1		
Tangut	7	3		
Teflis	1	1		
Tenduc	3	3		
Tonocain	2	1		
Toris	2	1		
Turcomania	2	2		
Ung	1	0		
Ung and Mungul	1	0		
Venice	1	1		
Vokhan	1	1		
Yarcan	2	1		
Yasdi	2	0		
Yrac	1	1		
great Armenia	1	0		
lesser Armenia	1	0		
sea of India	2	0		
