Entity	Original count	Found count
Altai	2	0
Aras	1	0
Argiron	1	1
Armenia	4	0
Armenia the Greater	2	2
Arzinga	2	2
Ava	1	0
Badascian	5	0
Badasian	1	0
Bagdad	1	2
	1	85
Baldach	8	8
Balk	3	3
Bangu	1	1
Bascra	1	1
Belor	1	1
Bethlehem	1	0
Calacian	1	1
Camandu	1	1
Cangui	1	0
Canosalmi	1	0
Canpicion	2	2
Cardistan	1	0
Cascar	2	2
Casserie	1	0
Casum	1	0
Cathay	6	6
Cerazi	1	0
Chandu	1	1
Chesciemur	1	0
Chisi	3	3
Cianganor	1	1
Ciarcian	3	3
Cielstan	1	0
Ciorcia	1	0
Cobinam	3	3
Como	1	0
Cormos	4	4
Cotan	3	3
Creman	7	7
Cremosor	1	0
Curmosa	1	0
Damascus	1	0
Darzizi	1	0
Dilivar	1	0
Dogana	1	0
Egrigaia	1	1
Erginul	2	2
Euphrates	2	2
Ezina	2	2
Formosa	1	0
Geihon	1	0
Genoa	2	0
Georgia	2	2
Ginghintalas	1	1
Gog and Magog	1	0
Great Armenia	1	0
Great Turkey	2	0
Herdil	1	0
Idifu	1	0
India	10	0
Indian sea	1	0
Iron Gate	1	0
Istanit	1	0
Kamul	2	2
Karakorum	2	2
Kesimur	1	1
Kur	1	0
Kurdistan	1	0
Laias	1	1
Levant	2	0
Lighinan	1	0
Lop	1	1
Lor	1	0
Mosul	5	5
Mulecte	1	0
Mungul	1	0
Pascia	1	1
Pasciai	1	0
Pein	1	1
Persia	8	8
Pisa	1	0
Reobarle	2	2
Rome	4	0
Ruemedan Achomac	2	0
Saba	1	0
Sacchion	1	1
Samarcan	3	3
Sapurgan	1	1
Sava	1	1
Scassem	2	2
Sevasto	1	0
Sindacui	1	0
Singuy	1	0
Soucara	1	0
Succiur	1	1
Taikan	1	0
Tangut	7	7
Teflis	1	1
Tenduc	3	3
Tonocain	2	2
Toris	2	2
Turcomania	2	0
Ung	1	0
Ung and Mungul	1	0
Venice	1	1
Vokhan	1	1
Yarcan	2	2
Yasdi	2	2
Yrac	1	0
great Armenia	1	0
lesser Armenia	1	0
sea of India	2	0
