Entity	Original count	Found count
Alaodin	2	2
Alau	3	3
Alexander	6	0
Alton	1	0
Argon	2	2
Asidiu Sultan	1	0
Bacui	1	0
Balthazar	1	0
Ciagatai	4	4
Cui	1	0
Darius	3	0
David Melik	1	0
David the King	1	0
Gaspar	1	0
Gengis	5	9
	11	78
Gengis Khan	4	0
George	2	0
Guasmul	1	0
Jatolior	1	0
Jesus Christ	1	0
Khan	25	31
Kublai	3	0
Maffio	1	0
Mangou	3	4
Mangou Khan	1	0
Marco	2	0
Marco Polo	2	2
Melchior	1	0
Messer Marco	3	0
Messeri Nicolo	1	0
Mohammed	25	0
Nacygai	1	0
Noah	1	0
Nogodar	3	3
Old Man of the Mountain	2	0
Prester John	7	6
Unchan	3	0
Zurficar	1	0
`	1	0
the Old Man	3	0
the Old Man of the Mountain	2	0
