Unnamed: 0	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	VerbNet Travel	VerbNet Narrate
0	3	PART 1	1	India and the Ships navigating thither	1	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	India		India	Having,described,enter	Having,described,enter	enter	
1	3	PART 1	1	India and the Ships navigating thither	2	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.				made,divided,be,accommodated	made,divided,be,accommodated		
2	3	PART 1	1	India and the Ships navigating thither	3	They have one rudder and four masts ; 							
3	3	PART 1	1	India and the Ships navigating thither	4	while some have two additional, which can be put up and taken down at pleasure.				be,put,taken	be,put,taken		
4	3	PART 1	1	India and the Ships navigating thither	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.				formed,mortised	formed,mortised		
5	3	PART 1	1	India and the Ships navigating thither	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale.				guard,cause,spring,being,attacked	guard,cause,spring,being,attacked		
6	3	PART 1	1	India and the Ships navigating thither	7	This last circumstance is not unusual ; 							
7	3	PART 1	1	India and the Ships navigating thither	8	for during the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.				hoping,find	hoping,find		
8	3	PART 1	1	India and the Ships navigating thither	9	The water,  entering by the leak, runs on to the well, which is always kept clear ; 				entering,kept	entering,kept	entering	
9	3	PART 1	1	India and the Ships navigating thither	10	and the crew, on perceiving the occurrence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.				perceiving,remove,inundated,pass	perceiving,remove,inundated,pass		
10	3	PART 1	1	India and the Ships navigating thither	11	They then repair the injury and replace the articles.				repair,replace	repair,replace		
11	3	PART 1	1	India and the Ships navigating thither	12	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.				fastened,plastered,secured	fastened,plastered,secured		
12	3	PART 1	1	India and the Ships navigating thither	13	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.				beat,mix	beat,mix		
13	3	PART 1	1	India and the Ships navigating thither	14	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; 							
14	3	PART 1	1	India and the Ships navigating thither	15	they are moved by oars, on each of which four  hands are employed.				moved,employed	moved,employed		
15	3	PART 1	1	India and the Ships navigating thither	16	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.				carry,armed,dragging	carry,armed,dragging		
16	3	PART 1	1	India and the Ships navigating thither	17	Ten small boats are also kept for fishing and various other services ; 				kept	kept		
17	3	PART 1	1	India and the Ships navigating thither	18	two being attached to each bark.				being,attached	being,attached		
18	3	PART 1	1	India and the Ships navigating thither	19	When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.				sailed,stand,fastened,nailed,cemented,acquire	sailed,stand,fastened,nailed,cemented,acquire	sailed	
19	3	PART 1	1	India and the Ships navigating thither	20	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; 			India	Having,described,tell	Having,described,tell		tell
20	3	PART 1	1	India and the Ships navigating thither	21	but first I must mention the many isles in this sea lying to the eastward ; 				mention,lying	mention,lying		mention
