chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs
3	PART 1	1	India and the Ships navigating thither	1	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	India		India	Having,described,enter	Having,described,enter
3	PART 1	1	India and the Ships navigating thither	2	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.				made,divided,be,accommodated	made,divided,be,accommodated
3	PART 1	1	India and the Ships navigating thither	3	They have one rudder and four masts ; 					
3	PART 1	1	India and the Ships navigating thither	4	while some have two additional, which can be put up and taken down at pleasure.				be,put,taken	be,put,taken
3	PART 1	1	India and the Ships navigating thither	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.				formed,mortised	formed,mortised
3	PART 1	1	India and the Ships navigating thither	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale.				guard,cause,spring,being,attacked	guard,cause,spring,being,attacked
3	PART 1	1	India and the Ships navigating thither	7	This last circumstance is not unusual ; 					
3	PART 1	1	India and the Ships navigating thither	8	for during the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.				hoping,find	hoping,find
3	PART 1	1	India and the Ships navigating thither	9	The water,  entering by the leak, runs on to the well, which is always kept clear ; 				entering,kept	entering,kept
3	PART 1	1	India and the Ships navigating thither	10	and the crew, on perceiving the occurrence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.				perceiving,remove,inundated,pass	perceiving,remove,inundated,pass
3	PART 1	1	India and the Ships navigating thither	11	They then repair the injury and replace the articles.				repair,replace	repair,replace
3	PART 1	1	India and the Ships navigating thither	12	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.				fastened,plastered,secured	fastened,plastered,secured
3	PART 1	1	India and the Ships navigating thither	13	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.				beat,mix	beat,mix
3	PART 1	1	India and the Ships navigating thither	14	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; 					
3	PART 1	1	India and the Ships navigating thither	15	they are moved by oars, on each of which four  hands are employed.				moved,employed	moved,employed
3	PART 1	1	India and the Ships navigating thither	16	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.				carry,armed,dragging	carry,armed,dragging
3	PART 1	1	India and the Ships navigating thither	17	Ten small boats are also kept for fishing and various other services ; 				kept	kept
3	PART 1	1	India and the Ships navigating thither	18	two being attached to each bark.				being,attached	being,attached
3	PART 1	1	India and the Ships navigating thither	19	When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.				sailed,stand,fastened,nailed,cemented,acquire	sailed,stand,fastened,nailed,cemented,acquire
3	PART 1	1	India and the Ships navigating thither	20	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; 			India	Having,described,tell	Having,described,tell
3	PART 1	1	India and the Ships navigating thither	21	but first I must mention the many isles in this sea lying to the eastward ; 				mention,lying	mention,lying
3	PART 1	1	India and the Ships navigating thither	22	and first, of one named Zipangu.			Zipangu	named	named
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	23	This is a very large island, fifteen hundred miles from the continent.	Zipangu				
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	24	The people are fair, handsome, and of agreeable manners.					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	25	They are idolaters, and live quite separate, entirely independent of all other nations.				live	live
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	26	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.				being,allowed,export	being,allowed,export
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	27	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.				give,covered	give,covered
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	28	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.				laid	laid
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	29	Here are also red pearls, large, and of equal value with the white, with many other precious stones.					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	30	Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.		Kublai		desired,conquer,sent,containing	desired,conquer,sent,containing
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	31	One was named Abatan, the other Vonsanicin, both wise and valiant.		Abatan,Vonsanicin		was,named	was,named
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	32	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; 			Zai-tun,Kin-sai	sailed,reached,landed,took	sailed,reached,landed,took
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	33	but they had been unable to take any city or castle, when a sad misadventure occurred.				had,been,take,occurred	had,been,take,occurred
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	34	A mutual jealousy arose amongst them, which prevented their acting in any concert.				arose,prevented	arose,prevented
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	35	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.				blew,expressed,remained,be,wrecked	blew,expressed,remained,be,wrecked
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	36	The whole then went on board and set sail.				went,set	went,set
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	37	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.				had,proceeded,found,being,sought	had,proceeded,found,being,sought
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	38	Others could not reach it, many of whom suffered shipwreck and perished ; 				reach,suffered,perished	reach,suffered,perished
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	39	but some were preserved and sailed for their native country.				were,preserved,sailed	were,preserved,sailed
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	40	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; 				had,landed,looked,seeing,escaping	had,landed,looked,seeing,escaping
