chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	VerbNet Travel	WordNet Travel	FrameNet Travel	VerbNet Narrate	WordNet Narrate	FrameNet Narrate	Voted Narrate	Voted Travel	Paper Narrate	Paper Travel
3	PART 1	1	India and the Ships navigating thither	1	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	India		India	enter	described	enter		enter		Having,described	described	described	enter	described	enter
3	PART 1	1	India and the Ships navigating thither	2	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.				 		made		made,be		be	be	be	made		made
3	PART 1	1	India and the Ships navigating thither	3	They have one rudder and four masts ; 															
3	PART 1	1	India and the Ships navigating thither	4	while some have two additional, which can be put up and taken down at pleasure.								be,taken		be,put,taken	be	be			
3	PART 1	1	India and the Ships navigating thither	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.															
3	PART 1	1	India and the Ships navigating thither	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale.								being		spring,being	being	being			
3	PART 1	1	India and the Ships navigating thither	7	This last circumstance is not unusual ; 															
3	PART 1	1	India and the Ships navigating thither	8	for during the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.						hoping	hoping	find					hoping		
3	PART 1	1	India and the Ships navigating thither	9	The water,  entering by the leak, runs on to the well, which is always kept clear ; 						entering		entering		kept			entering		entering
3	PART 1	1	India and the Ships navigating thither	10	and the crew, on perceiving the occurrence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.				pass			pass	pass		pass			pass		
3	PART 1	1	India and the Ships navigating thither	11	They then repair the injury and replace the articles.							repair								
3	PART 1	1	India and the Ships navigating thither	12	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.															
3	PART 1	1	India and the Ships navigating thither	13	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.															
3	PART 1	1	India and the Ships navigating thither	14	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; 															
3	PART 1	1	India and the Ships navigating thither	15	they are moved by oars, on each of which four  hands are employed.				moved		moved	moved	moved		moved			moved		moved
3	PART 1	1	India and the Ships navigating thither	16	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.							carry,dragging			carry				carry	
3	PART 1	1	India and the Ships navigating thither	17	Ten small boats are also kept for fishing and various other services ; 										kept					
3	PART 1	1	India and the Ships navigating thither	18	two being attached to each bark.								being		being	being	being			
3	PART 1	1	India and the Ships navigating thither	19	When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.				sailed		sailed	sailed	sailed			cemented		sailed		sailed
3	PART 1	1	India and the Ships navigating thither	20	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; 			India		described,tell				tell	Having,described,tell	described,tell	described ,tell		described,tell	
3	PART 1	1	India and the Ships navigating thither	21	but first I must mention the many isles in this sea lying to the eastward ; 					mention				mention	mention,lying	mention	mention		mention	
3	PART 1	1	India and the Ships navigating thither	22	and first, of one named Zipangu.			Zipangu		named					named				named	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	23	This is a very large island, fifteen hundred miles from the continent.	Zipangu														
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	24	The people are fair, handsome, and of agreeable manners.															
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	25	They are idolaters, and live quite separate, entirely independent of all other nations.															
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	26	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.								being		being	being,allowed	being			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	27	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.										give,covered				covered	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	28	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.										laid					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	29	Here are also red pearls, large, and of equal value with the white, with many other precious stones.															
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	30	Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.		Kublai								desired,sent					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	31	One was named Abatan, the other Vonsanicin, both wise and valiant.		Abatan,Vonsanicin			named			was		was,named	was	was		named	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	32	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; 			Zai-tun,Kin-sai	sailed,reached,landed		sailed,reached	sailed,reached,landed	sailed,reached,took		reached,took	reached	reached	reached ,sailed		sailed,reached
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	33	but they had been unable to take any city or castle, when a sad misadventure occurred.								been,take		had,been,take	been	been			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	34	A mutual jealousy arose amongst them, which prevented their acting in any concert.							arose								
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	35	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.							blew	blew,be		blew,expressed,be	be	be	blew	blew,expressed	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	36	The whole then went on board and set sail.				went		went	went	went		set	went		went		went
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	37	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.				proceeded			proceeded,sought	found,being		had,proceeded,being	being	being			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	38	Others could not reach it, many of whom suffered shipwreck and perished ; 				reach		reach	reach	reach		reach	reach	reach	reach		reach
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	39	but some were preserved and sailed for their native country.				sailed		sailed	sailed	were,sailed		were	were	were	sailed		sailed
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	40	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; 				landed,escaping		escaping	landed,seeing	escaping		had,looked,seeing			escaping		seeing,escaping
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	41	and their anger and grief were increased, when they beheld the other ships making their way homeward.						making		were,making		were	were	were	making		making
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	42	The sovereign and people of the large isle rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet.							saw,cast			saw,cast					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	43	As soon as the sea calmed, they assembled a great number of ships, sailed thither and landed, hoping to capture all those refugees.				sailed,landed		sailed,hoping	sailed,landed,hoping	sailed		assembled			hoping ,sailed		sailed
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	44	But when the latter saw that their enemies had disembarked, leaving the vessels unguarded, they skilfully retreated to another quarter, and continued moving about till they reached the ships, and went on board without any opposition.				disembarked,leaving,retreated,continued,moving,reached,went		disembarked,leaving,moving,reached,went	leaving,retreated,continued,moving,reached,went	leaving,moving,reached,went		had,leaving,continued,moving,reached	reached,went	reached	leaving ,moving ,reached ,went		leaving,retreated,moving,reached,went
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	45	They then sailed direct for the principal island, hoisting its own standards and ensigns.				sailed		sailed	sailed	sailed					sailed		sailed
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	46	On seeing these, the people believed their own countrymen had returned, and allowed them to enter the city.				returned,enter		returned,enter	seeing,returned	returned,enter		seeing,had,returned	allowed		enter ,returned		seeing,returned,enter
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	47	The Tartars, finding it defended only by old men, soon drove them out, retaining the women as slaves.				drove		drove	drove	finding		defended,drove			drove		
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	48	When the king and his warriors saw themselves thus deceived, and their city captured, they were like to die of grief;							saw	were		saw,deceived,were	were	were			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	49	 but they assembled other ships, and invested it so closely as to prevent all communication.										assembled					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	50	The invaders maintained it seven months, and planned day and night how they might convey tidings to their master of their present condition ; 									convey	convey	maintained,planned	convey		maintained,convey	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	51	but finding this impossible, they agreed with the besiegers to surrender, securing only their lives.								finding							
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	52	This took place in the year 1269.								took		took					
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	53	The great khan, however, ordered one of the commanders of this host to lose his head, and the other to be sent to the isle where he had caused the loss of so many men, and there put to death.		Khan						be		ordered,be,sent,had	be	be			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	54	I have to relate also a very wonderful thing, that these two barons took a number of persons in a castle of Zipangu, and because they had refused to surrender, ordered all their heads to be cut off ; 			Zipangu		relate		cut	took,be	relate	relate,took,had,ordered,be,cut	relate,be	be ,relate		relate	
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	55	but there were eight on whom they could not execute this sentence, because these wore consecrated stones in the arm between the skin and the flesh, which so enchanted them, that they could not die by steel.								were		were	were	were			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	56	They were therefore beaten to death with clubs, and the stones, being extracted, were held very precious.								were,being,were		were,being,were,held	were,being,were,held	being ,held ,were ,were			
3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	57	But I must leave this matter and go on with the narrative.				leave,go		leave,go	leave,go	leave,go		leave	go		go ,leave		leave,go
3	PART 1	3	Idolatry and Cruelty of the Japanese	58	The idolaters of Cathay, of Manji, and of these isles, have all a uniform worship ; 	Zipangu		Cathay,Manji												
3	PART 1	3	Idolatry and Cruelty of the Japanese	59	their idols have heads respectively of the dog, the hog, the sheep, and various other animals, Some have a head and four faces, others three heads, one in the proper place, and one on each shoulder.															
3	PART 1	3	Idolatry and Cruelty of the Japanese	60	Certain images have four, ten, and even a thousand hands, and these last are held in peculiar reverence.										held	held	held			
3	PART 1	3	Idolatry and Cruelty of the Japanese	61	"When the Christians ask them why they form idols in so strange a manner, they reply,-""Our ancestors left them to us, and we will leave them to our children?."""				left,leave		left,leave	left,leave	left,leave		left,leave			leave ,left		left,leave
3	PART 1	3	Idolatry and Cruelty of the Japanese	62	The actions of these beings are so various and diabolical, that they must not be mentioned in this book, because it would be a wicked thing in Christians to read them.					mentioned			be,be	mentioned,read	be,mentioned,be,read	be,mentioned,be	be ,be ,mentioned ,read		mentioned	
3	PART 1	3	Idolatry and Cruelty of the Japanese	63	I shall only mention, that any idolater of these isles, when he captures an enemy, who cannot procure a ransom in money, invites his friends, who cook and eat the prisoner, reckoning his flesh the most delicate food that can be obtained.					mention			be	mention	mention,be	mention,be	be ,mention		mention	
3	PART 1	4	Sea of China, and numerous Islands	64	You must know, that the gulf containing this island is called that of Zin, meaning in their language the sea opposite to Manji.	Zin		Zin,Manji		know,called			meaning	called	know,called,meaning	know	called ,know			
3	PART 1	4	Sea of China, and numerous Islands	65	According to skilful and intelligent mariners, who have made the voyage, it contains 7448 isles, mostly inhabited.						made		made					made		made
3	PART 1	4	Sea of China, and numerous Islands	66	In all these there grows no tree which is not agreeably fragrant, and also useful, being equal or superior in size to the lignum aloes.								being		being	being	being			
3	PART 1	4	Sea of China, and numerous Islands	67	They produce also many and various spices, including pepper white like snow, as well as the black.															
3	PART 1	4	Sea of China, and numerous Islands	68	They yield also much gold, and various other wonderful and costly productions ;															
3	PART 1	4	Sea of China, and numerous Islands	69	but they are very distant and difficult to reach.				reach		reach	reach	reach		reach	reach	reach	reach		reach
3	PART 1	4	Sea of China, and numerous Islands	70	The mariners of Zai-tun and Kin-sai, who visit them, gain indeed great profits; 			Zai-tun,Kin-sai												gain
3	PART 1	4	Sea of China, and numerous Islands	71	but they spend a year on the voyage, going in winter, and returning in the summer ; 				going,returning		going,returning	going,returning	going,returning		returning	going		going ,returning		going,returning
3	PART 1	4	Sea of China, and numerous Islands	72	for the wind in these seasons blows only from two different quarters, one of which carries them thither, and the other brings them back.															
3	PART 1	4	Sea of China, and numerous Islands	73	But this country is immensely distant from India.			India												
3	PART 1	4	Sea of China, and numerous Islands	74	You may observe, too, that though the sea be called Zin, it is really the ocean, just as we say the sea of England, the sea of Rochelle.			Zin,sea of England,sea of Rochelle		observe,called			be	observe,called	observe,be,called	observe,be	be ,called ,observe		observe	
3	PART 1	4	Sea of China, and numerous Islands	75	The great khan has no power over these islands.		Khan													
3	PART 1	4	Sea of China, and numerous Islands	76	Now let us return to Zai-tun, and resume our narrative.			Zai-tun	return	resume	return	return	return		return,resume			return		return
3	PART 1	5	Of Cianba, and Expedition thither	77	On leaving that port, and sailing west and somewhat south-west 1500 miles, you reach a country named Cianba,which is very rich and extensive.	Cianba		Cianba	leaving	named	leaving	leaving	leaving		leaving,named			leaving	named	leaving
3	PART 1	5	Of Cianba, and Expedition thither	78	The people are idolaters, have a language of their own, and 9 king, who pays tribute to the great khan, but only in fine elephants peculiar to the country.		Khan													
3	PART 1	5	Of Cianba, and Expedition thither	79	That monarch, seeking to subdue him, sent, in 1278, one of his barons with many men, horse and foot, who began to lay waste the country.							seeking			sent,began,lay					
3	PART 1	5	Of Cianba, and Expedition thither	80	The sovereign, who was very aged and much afraid of such powerful warriors, did not venture to engage them on the open plain, remaining secure in strong cities and fortresses ; 							did	was		was	was	was			
3	PART 1	5	Of Cianba, and Expedition thither	81	but all the lands and houses were wasted and destroyed.								were		were	were	were			
3	PART 1	5	Of Cianba, and Expedition thither	82	"Grieved at the desolation of the territory, he sent messengers, who said to the great khan, "" Sir, the King of Cianba salutes you as his liege lord, and states himself to be a man of great age, who has long preserved his kingdom in peace. He offers to be your vassal, and pay a liberal tribute in elephants, and beseeches that your baron and army will cease to ravage his kingdom."""		Khan	Cianba		said			be,be	said	sent,said,be,be,pay	said,be,be	be ,be ,said		said	
3	PART 1	5	Of Cianba, and Expedition thither	83	The khan, having heard this message, took pity upon him, and ordered his general to withdraw, and conquer another country ; 		Khan					withdraw	took		having,took,ordered,withdraw					withdraw
3	PART 1	5	Of Cianba, and Expedition thither	84	and he has ever since received this tribute of the largest and most beautiful elephants.															
3	PART 1	5	Of Cianba, and Expedition thither	85	In this kingdom, no handsome girl can be married till the king sees her, when, if pleased, he takes her to wife ; 								be		be	be	be			
3	PART 1	5	Of Cianba, and Expedition thither	86	otherwise, he gives her money, with which she can be married to a nobleman.								be		be	be	be			
3	PART 1	5	Of Cianba, and Expedition thither	87	In 1285, when I, Marco Polo, was there, the king had 326 sons and daughters, of whom 150 were men that could carry arms.		Marco Polo					carry	was,were		was,had,were,carry	was,were	was ,were		carry	
3	PART 1	5	Of Cianba, and Expedition thither	88	Besides elephants, the country abounds in lignum aloes, and the wood called ebony,which is very black, used in making chess-boards and writingdesks.					called	making		making	called	called		called	making		making
3	PART 1	5	Of Cianba, and Expedition thither	89	I now proceed to a great island named Java.			Java		named					named				named	
3	PART 1	6	The Island of Java	90	Departing from Cianba, and going south and southeast 1500 miles, you come to this island.	Java		Cianba	Departing,going		going	Departing,going	going			going		going		going
3	PART 1	6	The Island of Java	91	Good mariners, who know it intimately, describe it as the largest in the world, with a circuit of more than 3000 miles.															
3	PART 1	6	The Island of Java	92	 The people are subject to a powerful king, are idolaters, and pay no tribute to any other prince.										pay					
3	PART 1	6	The Island of Java	93	The territory is very rich, yielding pepper, nutmegs, galanga, cubebs, cloves, and all the richest of spices.															
3	PART 1	6	The Island of Java	94	Many merchants from Zai-tun and Manji come and carry on a great and profitable traffic.			Zai-tun,Manji	come		come	come,carry	come		carry			come	carry	come
3	PART 1	6	The Island of Java	95	Its treasure also is so immense, that it can scarcely be estimated.								be		be	be	be			
