chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Travel verbs	Narrate verbs	Travel Verb Phrases	Travel Noun Phrases
3	PART 1	1	India and the Ships navigating thither	1	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	India		India	Having,described,enter	Having,described,enter	Having described so many inland provinces,described so many inland provinces,enter upon India , with the wonderful objects in that region	India
3	PART 1	1	India and the Ships navigating thither	2	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.				made,divided,be,accommodated	made,divided,be,accommodated	made of fir , with only one deck,divided beneath into sixty compartments , in each of which a person can be conveniently accommodated,be conveniently accommodated	fir
3	PART 1	1	India and the Ships navigating thither	3	They have one rudder and four masts ; 							
3	PART 1	1	India and the Ships navigating thither	4	while some have two additional, which can be put up and taken down at pleasure.				be,put,taken	be,put,taken	be put up and taken down at pleasure,put up and taken down at pleasure,taken down at pleasure	
3	PART 1	1	India and the Ships navigating thither	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.				formed,mortised	formed,mortised	formed of thick planks mortised into each other,mortised into each other	thick planks mortised into each other,each other
3	PART 1	1	India and the Ships navigating thither	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale.				guard,cause,spring,being,attacked	guard,cause,spring,being,attacked	guard against accidents which may cause the vessel to spring a leak , such as striking on a rock or being attacked by a whale,cause the vessel to spring a leak , such as striking on a rock or being attacked by a whale,spring a leak , such as striking on a rock or being attacked by a whale,being attacked by a whale,attacked by a whale	accidents which may cause the vessel to spring a leak , such as striking on a rock,the vessel to spring a leak , such as striking on a rock or being attacked by a whale,a rock,a whale,a whale
3	PART 1	1	India and the Ships navigating thither	7	This last circumstance is not unusual ; 							
3	PART 1	1	India and the Ships navigating thither	8	for during the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.				hoping,find	hoping,find	hoping to find food,find food	food
3	PART 1	1	India and the Ships navigating thither	9	The water,  entering by the leak, runs on to the well, which is always kept clear ; 				entering,kept	entering,kept	entering by the leak,kept clear	the leak
3	PART 1	1	India and the Ships navigating thither	10	and the crew, on perceiving the occurrence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.				perceiving,remove,inundated,pass	perceiving,remove,inundated,pass	perceiving the occurrence,remove the goods from the inundated division,pass to any other	the occurrence,the goods,the inundated division,any other
3	PART 1	1	India and the Ships navigating thither	11	They then repair the injury and replace the articles.				repair,replace	repair,replace	repair the injury and replace the articles,replace the articles	the injury,the articles,the articles
3	PART 1	1	India and the Ships navigating thither	12	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.				fastened,plastered,secured	fastened,plastered,secured	fastened with iron nails , and plastered without and within , but not secured by pitch , of which the people are destitute,plastered without and within , but not secured by pitch , of which the people are destitute,secured by pitch , of which the people are destitute	pitch , of which the people are destitute
3	PART 1	1	India and the Ships navigating thither	13	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.				beat,mix	beat,mix	beat it into fine powder , and mix it with an oil from trees,mix it with an oil from trees	it
3	PART 1	1	India and the Ships navigating thither	14	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; 							
3	PART 1	1	India and the Ships navigating thither	15	they are moved by oars, on each of which four  hands are employed.				moved,employed	moved,employed	moved by oars , on each of which four hands are employed,employed	oars , on each of which four hands are employed
