	chapterNo	chapterTitle	sectionNo	sectionTitle	sentenceNo	sentence	Polo Location	Person	Location	Gazzeter Location	Gazzeter Person
0	3	PART 1	1	India and the Ships navigating thither	1	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.	India		India		
1	3	PART 1	1	India and the Ships navigating thither	2	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.					
2	3	PART 1	1	India and the Ships navigating thither	3	They have one rudder and four masts ; 					
3	3	PART 1	1	India and the Ships navigating thither	4	while some have two additional, which can be put up and taken down at pleasure.					
4	3	PART 1	1	India and the Ships navigating thither	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.					
5	3	PART 1	1	India and the Ships navigating thither	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale.					
6	3	PART 1	1	India and the Ships navigating thither	7	This last circumstance is not unusual ; 					
7	3	PART 1	1	India and the Ships navigating thither	8	for during the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.					
8	3	PART 1	1	India and the Ships navigating thither	9	The water,  entering by the leak, runs on to the well, which is always kept clear ; 					
9	3	PART 1	1	India and the Ships navigating thither	10	and the crew, on perceiving the occurrence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.					
10	3	PART 1	1	India and the Ships navigating thither	11	They then repair the injury and replace the articles.					
11	3	PART 1	1	India and the Ships navigating thither	12	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.					
12	3	PART 1	1	India and the Ships navigating thither	13	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.					
13	3	PART 1	1	India and the Ships navigating thither	14	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; 					
14	3	PART 1	1	India and the Ships navigating thither	15	they are moved by oars, on each of which four  hands are employed.					
15	3	PART 1	1	India and the Ships navigating thither	16	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.					
16	3	PART 1	1	India and the Ships navigating thither	17	Ten small boats are also kept for fishing and various other services ; 					
17	3	PART 1	1	India and the Ships navigating thither	18	two being attached to each bark.					
18	3	PART 1	1	India and the Ships navigating thither	19	When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.					
19	3	PART 1	1	India and the Ships navigating thither	20	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; 			India		
20	3	PART 1	1	India and the Ships navigating thither	21	but first I must mention the many isles in this sea lying to the eastward ; 					
21	3	PART 1	1	India and the Ships navigating thither	22	and first, of one named Zipangu.			Zipangu		
22	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	23	This is a very large island, fifteen hundred miles from the continent.	Zipangu				
23	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	24	The people are fair, handsome, and of agreeable manners.					
24	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	25	They are idolaters, and live quite separate, entirely independent of all other nations.					
25	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	26	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.					
26	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	27	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.					
27	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	28	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.					
28	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	29	Here are also red pearls, large, and of equal value with the white, with many other precious stones.					
29	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	30	Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.		Kublai			
30	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	31	One was named Abatan, the other Vonsanicin, both wise and valiant.		Abatan,Vonsanicin			
31	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	32	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; 			Zai-tun,Kin-sai	Zai-tun, Kin-sai	
32	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	33	but they had been unable to take any city or castle, when a sad misadventure occurred.					
33	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	34	A mutual jealousy arose amongst them, which prevented their acting in any concert.					
34	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	35	One day when the north wind blew very strong, the troops expressed to each other apprehensions, that if they remained, all the vessels would be wrecked.					
35	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	36	The whole then went on board and set sail.					
36	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	37	When they had proceeded about four miles, they found another small isle, on which, the storm being violent, a number sought refuge.					
37	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	38	Others could not reach it, many of whom suffered shipwreck and perished ; 					
38	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	39	but some were preserved and sailed for their native country.					
39	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	40	Those who had landed, 30,000 in number, looked on themselves as dead men, seeing no means of ever escaping ; 					
40	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	41	and their anger and grief were increased, when they beheld the other ships making their way homeward.					
41	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	42	The sovereign and people of the large isle rejoiced greatly when they saw the host thus scattered and many of them cast upon the islet.					
42	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	43	As soon as the sea calmed, they assembled a great number of ships, sailed thither and landed, hoping to capture all those refugees.					
43	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	44	But when the latter saw that their enemies had disembarked, leaving the vessels unguarded, they skilfully retreated to another quarter, and continued moving about till they reached the ships, and went on board without any opposition.					
44	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	45	They then sailed direct for the principal island, hoisting its own standards and ensigns.					
45	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	46	On seeing these, the people believed their own countrymen had returned, and allowed them to enter the city.					
46	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	47	The Tartars, finding it defended only by old men, soon drove them out, retaining the women as slaves.					
47	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	48	When the king and his warriors saw themselves thus deceived, and their city captured, they were like to die of grief;					
48	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	49	 but they assembled other ships, and invested it so closely as to prevent all communication.					
49	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	50	The invaders maintained it seven months, and planned day and night how they might convey tidings to their master of their present condition ; 					
50	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	51	but finding this impossible, they agreed with the besiegers to surrender, securing only their lives.					
51	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	52	This took place in the year 1269.					
52	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	53	The great khan, however, ordered one of the commanders of this host to lose his head, and the other to be sent to the isle where he had caused the loss of so many men, and there put to death.		Khan			Khan
53	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	54	I have to relate also a very wonderful thing, that these two barons took a number of persons in a castle of Zipangu, and because they had refused to surrender, ordered all their heads to be cut off ; 			Zipangu		
54	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	55	but there were eight on whom they could not execute this sentence, because these wore consecrated stones in the arm between the skin and the flesh, which so enchanted them, that they could not die by steel.					
55	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	56	They were therefore beaten to death with clubs, and the stones, being extracted, were held very precious.					
56	3	PART 1	2	Island of Zipangu, and Tartar Expedition thither	57	But I must leave this matter and go on with the narrative.					
57	3	PART 1	3	Idolatry and Cruelty of the Japanese	58	The idolaters of Cathay, of Manji, and of these isles, have all a uniform worship ; 	Zipangu		Cathay,Manji	Cathay, Manji	
58	3	PART 1	3	Idolatry and Cruelty of the Japanese	59	their idols have heads respectively of the dog, the hog, the sheep, and various other animals, Some have a head and four faces, others three heads, one in the proper place, and one on each shoulder.					
59	3	PART 1	3	Idolatry and Cruelty of the Japanese	60	Certain images have four, ten, and even a thousand hands, and these last are held in peculiar reverence.					
60	3	PART 1	3	Idolatry and Cruelty of the Japanese	61	"When the Christians ask them why they form idols in so strange a manner, they reply,-""Our ancestors left them to us, and we will leave them to our childrenù."""					
61	3	PART 1	3	Idolatry and Cruelty of the Japanese	62	The actions of these beings are so various and diabolical, that they must not be mentioned in this book, because it would be a wicked thing in Christians to read them.					
62	3	PART 1	3	Idolatry and Cruelty of the Japanese	63	I shall only mention, that any idolater of these isles, when he captures an enemy, who cannot procure a ransom in money, invites his friends, who cook and eat the prisoner, reckoning his flesh the most delicate food that can be obtained.					
63	3	PART 1	4	Sea of China, and numerous Islands	64	You must know, that the gulf containing this island is called that of Zin, meaning in their language the sea opposite to Manji.	Zin		Zin,Manji	Manji	
