Entity	Original count	Found count			
Abascia	8	2			
Acre	1	1			
Aden	14	14			
Alania	1	1			
Alexandria	2	2			
Angaman	2	2			40
Arabia	3	3			61
Babylon	1	0			
Babylonia	1	1			
Bagdad	2	2			
Basman	2	2			
Cail	1	0			
Calatu	5	2			
Cambaia	1	0			
Catai	1	1			
Cathay	1	1			
Cianba	3	2			
Coilon	2	0			
Comania	1	1			
Comari	2	2			
Condur	1	0			
Constantinople	1	0			
Cormos	5	4			
Creman	2	0			
Curmos	2	2			
Dagroian	1	0			
Dufar	3	2			
Eli	2	0			
Escier	2	1			
Fansur	2	1			
Female	2	0			
Ferlech	2	1			
Gavenispola	1	1			
Gazaria	1	1			
Gihon	2	2			
Gozurat	3	2			
Great Russia	1	0			
Great Sea	1	0			
Great Turkey	2	0			
Greater Sea	1	0			
Gucia	1	1			
India	18	17			
India the Greater	1	0			
Java	3	3			
Java the Lesser	1	0			
Jerusalem	2	2			
Kambalu	1	1			
Karakorum	1	1			
Kesmacoran	3	2			
Kin-sai	2	2			
Lac	2	1			
Lambri	3	1			
Lar	1	0			
Levant	1	0			
Lochac	2	2			
Maabar	9	7			
Madagascar	1	1			
Malabar	1	0			
Malauir	1	1			
Male	2	0			
Manji	8	5			
Melibar	2	0			
Mengiar	1	1			
Montifi	1	1			
Mutfili	1	0			
Necuveran	1	0			
Nerghi	1	1			
Nubia	2	1			
Obscurity	1	0			
Oroech	1	1			
Pentam	3	2			
Quis	2	0			
Quisci	2	2			
Rome	1	0			
Russia	5	5			
Samara	2	2			
Samarcand	1	1			
Scotra	3	2			
Sea of Sarain	1	0			
Seilan	4	4			
Semenat	1	0			
Soer	1	1			
Sondur	1	0			
Tana	1	0			
The Lesser India	1	0			
Venice	2	2			
Zai-tun	4	3			
Zanghibar	3	1			
Zic	1	1			
Zin	2	2			
Zinaba	1	1			
Zipangu	2	1			
sea of England	1	0			
sea of Rochelle	1	0			
the Greater India	1	0			
the Middle India	1	0			
