Entity	Original count	Found count
	111	26
Abascia	8	2
Alania	1	1
Angaman	2	2
Arabia	3	3
Babylonia	1	1
Basman	2	2
Cambaia	1	0
Catai	1	1
Comari	2	2
Condur	1	0
Curmos	2	2
Female	2	0
Ferlech	2	1
Gavenispola	1	1
Gazaria	1	1
Gihon	2	2
Great Russia	1	0
Great Sea	1	0
Greater Sea	1	0
Gucia	1	1
Malauir	1	1
Male	2	0
Mengiar	1	1
Montifi	1	1
Obscurity	1	0
Oroech	1	1
Quis	2	0
Quisci	2	2
Russia	5	5
Sondur	1	0
The Lesser India	1	0
Zin	2	2
Zinaba	1	1
Zipangu	2	1
sea of England	1	0
sea of Rochelle	1	0
the Greater India	1	0
the Middle India	1	0
