Entity	Original count	Found count
Abaga	9	9
Abatan	1	0
Acomat	9	10
	14	50
Acomat Soldan	2	2
Adam	3	3
Aigiarm	1	0
Alau	9	9
Alexander	1	0
Argon	27	28
Asciar	1	1
Baidu	3	0
Barak	3	0
Barka	8	8
Boga	2	2
Casan	7	8
Ciagatai	1	1
Conci	1	1
Elcidai	1	0
Gengis	1	3
Gengis Khan	2	0
George	1	1
Jesudar	1	0
Kaidu	13	14
Khan	26	29
Kublai	3	3
Maffio	1	0
Marco	3	0
Marco Polo	2	2
Messer St Thomas	2	0
Mohammed	8	8
Mohammedan	1	0
Mongutemur	1	0
Mungletemur	1	0
Nacigai	1	0
Nicolo	1	0
Nicolo Polo	1	1
Nogai	10	0
Nomogan	1	1
Patu	1	1
Prester John	1	1
Quiacatu	4	0
Sain	1	0
Samagar	1	1
Sendemain	1	1
Senderbandi Davar	1	0
Sergamon Borcam	1	0
Soldan	2	3
Soldan Acomat	1	0
St Thomas	2	0
Taga	1	0
Tegana	1	1
Tiar Oulatai	1	0
Toctai	10	10
Toctar	1	0
Togan	1	1
Tolobuga	2	2
Totamangu	7	7
Totamongur	1	0
Vonsanicin	1	0
soldan	1	0
