chapter No	chapter Title	section No	section Title	sentence No	sentence
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	1	India and the Ships navigating thither.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	2	Having described so many inland provinces, I will now enter upon India, with the wonderful objects in that region.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	3	The ships in which the merchants navigate thither are made of fir, with only one deck, but many of them are divided beneath into sixty compartments, in each of which a person can be conveniently accommodated.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	4	They have one rudder and four masts ; while some have two additional, which can be put up and taken down at pleasure.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	5	Many of the largest have besides as many as thirteen divisions in the hold, formed of thick planks mortised into each other.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	6	The object is to guard against accidents which may cause the vessel to spring a leak, such as striking on a rock or being attacked by a whale, This last circumstance is not unusual ; for dur-  ing the night the motion of the ship through the waves  raises a foam that invites the hungry animal, which,  hoping to find food, rushes violently against the hull,  and often forces in part of the bottom.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	7	The water,  entering by the leak, runs on to the well, which is al-  ways kept clear ; and the crew, on perceiving the occur-  rence, remove the goods from the inundated division, and  the boards are so tight that it cannot pass to any other.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	8	They then repair the injury and replace the articles.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	9	The  plaiJ^ are double, fastened with iron nails, and plastered  without and within, but not secured by pitch, of which  the people are destitute.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	10	They therefore take lime, beat  it into fine powder, and mix it with an oil from trees, so  that it becomes equal to glue.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	11	These vessels carry two  hundred mariners, and five or six thousand loads of  pepper ; they are moved by oars, on each of which four  hands are employed.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	12	Every one of them has two barks,  large enough to carry a thousand loads, and forty seamen  well armed, who often assist in dragging the large ships.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	13	Ten small boats are also kept for fishing and various other services ; two being attached to each bark.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	14	‘When the ships have sailed a year, and stand in need of repair, a fresh plank is fastened above the two others, then nailed and cemented, till they sometimes acquire a depth of six planks.
3	part3	1	Voyage through the Indian Seas, and Historical Accounts I	15	Having thus described the merchant-vessels that go to India, I will tell you of the country itself ; but first I must mention the many isles in this sea lying to the eastward ; and first, of one named Zipangu.
3	part3	10	Kingdom of Ferlech	16	In that of Ferlech are Saracen merchants, who come with their vessels, and have converted the people to the law of Mohammed ; but only in the city, for those in the mountains live like brutes, eating the flesh of men and of the vilest animals.
3	part3	10	Kingdom of Ferlech	17	They worship various objects, particularly the first thing they meet after rising in the morning.
3	part3	11	Kingdom of Basman	18	Leaving Ferlech, you enter Basman,a kingdom by itself, whose people have a language of their own, and live without law, like beasts.
3	part3	11	Kingdom of Basman	19	They own the supremacy of the khan, but pay him no tribute, because the great distance prevents his troops from reaching them; yet they sometimes make him a present of strange objects.
3	part3	11	Kingdom of Basman	20	Here are wild elephants, and unicorns not much smaller, being double the size of a buffalo.
3	part3	11	Kingdom of Basman	21	They have a large black horn in the middle of the forehead, and beneath the tongue sharp prickles, which can inflict severe wounds, Their heads resemble that of the wild boar, yet they carry them bent to the earth.
3	part3	11	Kingdom of Basman	22	They are very ugly, and fond of wallowing among mire.
3	part3	11	Kingdom of Basman	23	It is not true, as asserted among us, that they allow themselves to be taken by a virgin, but quite the contrary.
3	part3	11	Kingdom of Basman	24	There are here good and serviceable falcons, black like crows ; also a prodigious number of monkeys of various forms and habits.
3	part3	11	Kingdom of Basman	25	But you must know that those who bring the little men from India practise a great deception.
3	part3	11	Kingdom of Basman	26	I assure you the figures to which they give that name are manufactured in this island in the following manner :— There is a species of small monkey, with a face resembling the human, which they catch, skin, and shave off all the hair except on the beard and chin; having then moulded them intoa human semblance, they dryand preservethem with camphor and other articles.
3	part3	11	Kingdom of Basman	27	But it is a gross deception ; for neither in India, nor in any other country, however savage, are there men so small as these pretended ones.
3	part3	11	Kingdom of Basman	28	t Now let us tell of a kingdom called Samara.
3	part3	12	Kingdom of Samara	29	When a man departs from Basman, he finds the kingdom of Samara, in which I myself, Marco Polo, remained five months, because the bad weather did not allow us to sail, Here neither the north star nor the constellation of the Greater Bear appeared.
3	part3	12	Kingdom of Samara	30	The people are savage idolaters, governed by a rich and powerful king, and owning a nominal submission to the great khan.
3	part3	12	Kingdom of Samara	31	During our stay, we landed and erected castles of wood and twigs, where we remained through the fear of these wicked men, who eat their fellow-creatures.
3	part3	12	Kingdom of Samara	32	The best fishes in the world are found here.
3	part3	12	Kingdom of Samara	33	The people have no wheat, living on rice ; and they make no wine.
3	part3	12	Kingdom of Samara	34	You must know there is a kind of tree, of which they cut a branch, and place a pot beneath, when, during the night, the vessel is filled, and very good wine is thus produced, both red and white.
3	part3	12	Kingdom of Samara	35	The tree resembles a small date-palm, with four branches, and when it ceases to give out more wine, they water its root, which causes it to produce again.
3	part3	12	Kingdom of Samara	36	* They have great quantities of very large Indian nuts, and eat all kinds of flesh, good and bad.
3	part3	12	Kingdom of Samara	37	Now let us tell you of a kingdom which is named Dagroian.
3	part3	13	Kingdom of Dagroian	38	This kingdom has a language of its own; the people are very savage, subject to a king, but owning the supremacy of the great khan.
3	part3	13	Kingdom of Dagroian	39	They are savage idolaters, and have the following very bad custom :—When a man falls sick, his relations send for the magicians, and inquire if he will recover, as these deceivers profess to know, by their enchantments and idols, whether he will live or die.
3	part3	13	Kingdom of Dagroian	40	Inthe latter case, the friends send for persons who place something over hismouth, by which he is suffocated.
3	part3	13	Kingdom of Dagroian	41	They then cook the body, and all the kinsmen come and eat his flesh, taking care not to leave the smallest portion; which they believe would breed worms, and thus seriously afflict the soul of the deceased.
3	part3	13	Kingdom of Dagroian	42	They next collect the bones, and place them in a large and beautiful chest, which they carry to caverns in the mountains, beyond the reach of wild beasts or any other injury.
3	part3	13	Kingdom of Dagroian	43	When they take any man belonging to another country, who cannot redeem himself, they kill and eat him in like manner.
3	part3	13	Kingdom of Dagroian	44	This is a very bad practice.
3	part3	13	Kingdom of Dagroian	45	I must now, however, tell you something of Lambri.
3	part3	14	Kingdom of Lambri	46	Lambri is a kingdom having a sovereign of its own, who owns the supremacy of the khan.
3	part3	14	Kingdom of Lambri	47	The people are all idolaters ; they have a great abundance of camphor and other spices ; likewise brazil-wood.
3	part3	14	Kingdom of Lambri	48	This they sow, and when it has grown to a little twig, they transplant it to another place, and at the end of three years root it up.
3	part3	14	Kingdom of Lambri	49	We brought some of this seed to Venice, but it did not spring at all on account of the cold.
3	part3	14	Kingdom of Lambri	50	I will tell you another very wonderful thing ; for there are men in this kingdom who have tails like dogs, larger than a palm, and who are covered with hair.
3	part3	14	Kingdom of Lambri	51	They remain in the mountains, never visiting the towns.
3	part3	14	Kingdom of Lambri	52	* There are unicorns, with various beasts and birds for hunting.
3	part3	14	Kingdom of Lambri	53	Now let us depart and tell you of Fansur.
3	part3	15	Kingdom of Fansur	54	The people of Fansur are idolaters, have a king, and nominally acknowledge the great khan.
3	part3	15	Kingdom of Fansur	55	Here grows the best canfara fansuri, which is much more valued than any other ; indeed it sells for its weight in gold.
3	part3	15	Kingdom of Fansur	56	Wine is drawn from trees, in the manner described above : another wonder is, that, in this province, meal is obtained from them.
3	part3	15	Kingdom of Fansur	57	These are large, the bark thin, and the interior all full of meal.
3	part3	15	Kingdom of Fansur	58	The inhabitants take it out, and make a very good paste, of which we often ate.
3	part3	15	Kingdom of Fansur	59	Having told you of the kingdoms in this part of the isle, I will say nothing of the two others, because we did not.
3	part3	15	Kingdom of Fansur	60	visit them.
3	part3	15	Kingdom of Fansur	61	I will now, therefore, go to another small island called Gavenispola.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	62	Departing from Java and the kingdom of Lambri, and travelling northward about 150 miles, you find two islands, one of which is called Necuveran.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	63	t The people have no king, and live like brutes, both men and women going quite naked.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	64	They are idolaters, and have forests of noble and valuable trees ; among which are sandal-wood, the Indian nut, clove, brazil, and many others.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	65	Angaman is a very large island, without a king; the people idolaters, resembling savage beasts; indeed they are a most extraordinary race, having a head, teeth, and jaws like those of a mastiff dog.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	66	They are very cruel, and eat all the men of every other nation whom they can seize.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	67	They have great abundance and variety of spices, with fruits different from ours, but live chiefly on flesh and milk.
3	part3	16	Islands of Necuveran and Angaman (Nicobar and Andaman)	68	Having told of these various people, I will now mention another island.
3	part3	17	Island of Seilan	69	When you depart from Angaman, and sail.
3	part3	17	Island of Seilan	70	about a thousand miles westward, a little to the south, you reach the island of Seilan,the very best of its size in the world.
3	part3	17	Island of Seilan	71	It is 2400 miles in circuit ; yet I must tell you that anciently it was larger, being 3600, as appears by the old maps of the mariners on that sea ; but the north wind blows with such violence, that a great part has been carried away by the water.
3	part3	17	Island of Seilan	72	[ The people have a king called Sendemain, and are tributary to none ; they are idolaters, and go quite naked, except a small covering round the middle.
3	part3	17	Island of Seilan	73	They have no grain but rice, living on it and on flesh.
3	part3	17	Island of Seilan	74	I will now describe the most precious thing in the world; for here are noble and beautiful rubies, which can be procured nowhere else ; also the sapphire, the topaz, the amethyst, and various other precious stones.
3	part3	17	Island of Seilan	75	The king has the most beautiful ruby that ever was or can be in the whole world.
3	part3	17	Island of Seilan	76	It is the most splendid object on earth, and seems to glow like fire; it is of such value as money could scarcely purchase.
3	part3	17	Island of Seilan	77	The great khan sent his messengers to him, wishing to buy it, and offering the value of a city.
3	part3	17	Island of Seilan	78	The monarch replied, that he had received it from his ancestors, and would for no earthly consideration part with it.
3	part3	17	Island of Seilan	79	The people are not menat-arms, but unwarlike and cowardly ; when they need soldiers in war, they send for those of another country, commonly for Saracens.
3	part3	18	Origin of the Boodhist Religion in Seilan	80	I have also to tell you that in this island there is a great mountain, of which the rocks are so broken that it can be ascended only by chains of iron suspended, whereby men may mount to the summit.
3	part3	18	Origin of the Boodhist Religion in Seilan	81	Here, according to the Saracens, is the monument of Adam our first father ; but the idolaters consider it as that of Sergamon Borcam.
3	part3	18	Origin of the Boodhist Religion in Seilan	82	They describe this last as the first man whose image they worshipped, and as the best that ever lived in their country.
3	part3	18	Origin of the Boodhist Religion in Seilan	83	He was son to a great, rich, and powerful king, yet refused to succeed to the throne, or to attend to any worldly concern.
3	part3	18	Origin of the Boodhist Religion in Seilan	84	The monarch, who had no other son, was both grieved and angry.
3	part3	18	Origin of the Boodhist Religion in Seilan	85	He made him large promises, offering even to resign, and raise him immediately te the throne ; but the youth would listen to no such proposal.
3	part3	18	Origin of the Boodhist Religion in Seilan	86	The father was like to die of grief, but bethought himself of a plan for bringing him back to the world.
3	part3	18	Origin of the Boodhist Religion in Seilan	87	He lodged him in a very fine palace, and appointed 30,000 beautiful damsels to serve and amuse him.
3	part3	18	Origin of the Boodhist Religion in Seilan	88	The prince, however, remained insensible to their seductions, and led a more virtuous and chaste life than before.
3	part3	18	Origin of the Boodhist Religion in Seilan	89	Now his habits had been g0 recluse that he had never seen a dead person, or one not perfectly sound in his members.
3	part3	18	Origin of the Boodhist Religion in Seilan	90	One day, happening to ride across the path where a man lay dead, he was utterly astonished, and asked of his attendants what that was.
3	part3	18	Origin of the Boodhist Religion in Seilan	91	This being explained, he inquired if all men died, and being told they did so, he walked on, musing very deeply.
3	part3	18	Origin of the Boodhist Religion in Seilan	92	Some time after, he saw one unable to walk, and with all his teeth decayed through extreme old age.
3	part3	18	Origin of the Boodhist Religion in Seilan	93	Having asked, and being informed what that was, he declared he would no longer remain in this evil region, but would seek a place where men neither died nor grew old.
3	part3	18	Origin of the Boodhist Religion in Seilan	94	He left the palace, and journeyed into great and trackless mountains, where he spent his whole life virtuously and chastely, observing rigid abstinence ; so that had he been a Christian, he must have been a very great saint.
3	part3	18	Origin of the Boodhist Religion in Seilan	95	When he died, his corpse was carried to his father, who, on seeing the body of one whom he loved better than himself, was grieved to the heart.
3	part3	18	Origin of the Boodhist Religion in Seilan	96	He made an image of him composed of gold and precious stones.
3	part3	18	Origin of the Boodhist Religion in Seilan	97	All the people of the country adored him as a god, and they say that he died eighty-four times, becoming first an ox, then a horse, then a dog, and various other animals ; but that the eighty-fourth time he became a god, and they worship him as their best and greatest.
3	part3	18	Origin of the Boodhist Religion in Seilan	98	These were the first idolaters, from whom all the others in Seilan were descended.
3	part3	18	Origin of the Boodhist Religion in Seilan	99	But I assure you, many from the most distant countries come hither on pilgrimage, as Christians to the shrine of St James, and the monument on this mountain is said to be that of the prince, whose teeth, hair, and skull were preserved.
3	part3	18	Origin of the Boodhist Religion in Seilan	100	But the Saracens say that it is that of Adam, our first parent.
3	part3	18	Origin of the Boodhist Religion in Seilan	101	God knows which is right, but one cannot believe the latter, for the Scriptures of our holy church assure us that he died in another part of the world.
3	part3	18	Origin of the Boodhist Religion in Seilan	102	Now it happened that the great khan, hearing that the tomb of Adam, with the other objects mentioned, was on this mountain, sent, in 1284, a numerous embassy, who travelled by land to the island of Seilan.
3	part3	18	Origin of the Boodhist Religion in Seilan	103	They went to the king, and procured two of the grinding teeth, which were very large, also the hair, and the cup, of beautiful green porphyry.
3	part3	18	Origin of the Boodhist Religion in Seilan	104	They then returned, and sent notice to their sovereign of what they were bringing, when he ordered his subjects to go forth and meet these relics of our first father.
3	part3	18	Origin of the Boodhist Religion in Seilan	105	All the citizens of Kambalu came out; the chief men received the sacred objects, and brought them to his majesty, who welcomed them with great joy and reverence.
3	part3	18	Origin of the Boodhist Religion in Seilan	106	I assure you, too, they found this cup to be of such virtue, that when food was introduced for one man, there would be enough for five ; and the great khan declared he had tried this, and found it the truth.
3	part3	18	Origin of the Boodhist Religion in Seilan	107	Now having told you truly all this history, I will leave it and relate other things.
3	part3	19	Kingdoms of Maabar	108	When you depart from Seilan, and go westward about sixty miles,you come to the extensive provinceof Maabar, on the mainland.
3	part3	19	Kingdoms of Maabar	109	It is called India the Greater, and is indeed the noblest and richest country in the whole world.
3	part3	19	Kingdoms of Maabar	110	t In this province there are five kings, who are brothers, and the one that reigns here is called Senderbandi Davar.
3	part3	19	Kingdoms of Maabar	111	The largest and finest of pearls are found in a gulf between this continent and the island, having nowhere more than ten or twelve paces depth of water, and in some places only two.
3	part3	19	Kingdoms of Maabar	112	Vessels, large and small, resort thither from the beginning of April to the middle of May, and cast anchor in a place called Bettalar, about sixty miles out at sea; they then go in boats and begin the fishery.
3	part3	19	Kingdoms of Maabar	113	Many merchants, formed into companies, hire and pay the men employed.
3	part3	19	Kingdoms of Maabar	114	They gave a tenth to the king, and a twentieth to the Abraiamain, who enchants the fishes, depriving them of the power to injure the persons who dive under water for the pearls ; indeed he can enchant also all kinds of beasts and birds.
3	part3	19	Kingdoms of Maabar	115	The charm, howevet, lasts only during the day; at night the animals enjoy full liberty.
3	part3	19	Kingdoms of Maabar	116	When the men in the boats have found water four to twelve feet deep, they plunge to the bottom, and get shells called sea-oysters, and within whose flesh are found pearls of all sizes and shapes.
3	part3	19	Kingdoms of Maabar	117	These are brought up in very large quantities, and distributed over the world,—the king drawing from them a great revenue.
3	part3	19	Kingdoms of Maabar	118	During the rest of the year they are not found here; but at a place 300 miles distant, where they are taken from September to the middle of October.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	119	This is a very large island, fifteen hundred miles from the continent.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	120	The people are fair, handsome, and of agreeable manners.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	121	They are idolaters, and live quite separate, entirely independent of all other nations.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	122	Gold is very abundant, and no man being allowed to export it, while no merchant goes thence to the mainland, the people accumulate a vast amount.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	123	But I will give you a wonderful account of a very large palace, all covered with that metal, as our churches are with lead.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	124	The pavement of the chamber, the halls, windows, and every other part, have it laid on two inches thick,so that the riches of this palace are incalculable.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	125	Here are also red pearls, large, and of equal value with the white, with many other precious stones.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	126	* Kublai, on hearing of this amazing wealth, desired to conquer the island, and sent two of his barons with a very large fleet containing warriors, both horsemen and on foot.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	127	One was named Abatan, the other Vonsanicin, both wise and valiant.
3	part3	2	Island of Zipangu, and Tartar Expedition thither	128	They sailed from Zai-tun and Kin-sai, reached the isle, landed, and took possession of the plain and of a number of houses ; but they had been unable to take any city or castle, when a sad misadventure occurred.
