	Entity Name	Alternative Name	Tag	Reference
0	ABASCIA	Abyssinia	Location	Murray
1	Abacan			Yule
2	Abaji			Yule
3	Abaka	Abaga		Yule
4	Abano			Yule
5	Abash	Habsh		Yule
6	Abba Gregory			Yule
7	Abbott			Yule
8	Abdul Kuri Mejid			Yule
9	Abdul Kuri islands			Yule
10	Abher			Yule
11	Abnús			Yule
12	Abraha			Yule
13	Abraiaman			Yule
14	Abu Nasr Mohammed IX			Yule
15	Abubakr			Yule
16	Abulfeda			Yule
17	Abulfiez Khan			Yule
18	Abu’l Abbas Ahmed VII			Yule
19	Abyssinia	Abash		Yule
20	Acbalec 	Acbaluc ,Cheng-ting fu		Yule
21	Acbalec Manzi			Yule
22	Accambale			Yule
23	Achalech-Manji		Location	Murray
24	Achar			Yule
25	Achin			Yule
26	Achmac		Person	Murray
27	Achmath			Yule
28	Acomat		Person	Murray
29	Acomat Soldan	Ahmad Sultan		Yule
30	Acorn bread			Yule
31	Acqui			Yule
32	Acre		Location	Murray,Yule
33	Adam			Yule
34	Adam's Peak		Location	Murray
35	Adamodana			Yule
36	Adam’s Apple			Yule
37	Adel			Yule
38	Aden		Location	Murray,Yule
39	Adoration of the Emperor			Yule
40	Aegae			Yule
41	Aepyornis and its eggs			Yule
42	Afghans			Yule
43	Africa			Yule
44	Agassiz			Yule
45	Agathocles			Yule
46	Agha Ali Sháh			Yule
47	Aghrukji	Ukuruji		Yule
48	Agricola			Yule
49	Aguil			Yule
50	Ahmad	Achmath		Yule
51	Ahwaz			Yule
52	Ai-lao 	 Nan-chao		Yule
53	Aidhab			Yule
54	Aidhej			Yule
55	Aijaruc			Yule
56	Aikah Nowin			Yule
57	Ajmir			Yule
58	Ak Bulák salt mines			Yule
59	Ak-khoja			Yule
60	Akbar and Kúblái			Yule
61	Akhaltziké	Western Georgia		Yule
62	Akhtuba River			Yule
63	Aksarai			Yule
64	Aksu River			Yule
65	Aktár			Yule
66	Aktásh Valley			Yule
67	Al Biruni			Yule
68	Alacou			Yule
69	Alamút			Yule
70	Alan country			Yule
71	Alans			Yule
72	Alaodin		Person	Murray
73	Alaone			Yule
74	Alarm Tower			Yule
75	Alau		Person	Murray,Yule
76	Albenigaras			Yule
77	Alboquerque			Yule
78	Alchemy			Yule
79	Aleppo			Yule
80	Alexander III			Yule
81	Alexander IV			Yule
82	Alexander the Great			Yule
83	Alexandria			Yule
84	Alidada			Yule
85	Alihaiya			Yule
86	Alinak			Yule
87	Alligator			Yule
88	Almalik			Yule
89	Almanacs			Yule
90	Almonds			Yule
91	Aloes			Yule
92	Altai Mountains		Location	Murray,Yule
93	Altun–Khan			Yule
94	Alá‘uddin	Alaodin		Yule
95	Al–Ramni			Yule
96	Amazons			Yule
97	Ambergris			Yule
98	Amda Zion			Yule
99	Ament			Yule
100	Amhara			Yule
101	Amien			Yule
102	Amita Buddha			Yule
103	Ammianus Marcellinus			Yule
104	Amoy			Yule
105	Amu	Bamoo	Location	Murray,Yule
106	Ananda			Yule
107	Anaurahta			Yule
108	Ancestor Worship			Yule
109	Anchors			Yule
110	Andaman	Angamanain		Yule
111	Andragiri			Yule
112	Andreas			Yule
113	Andrew			Yule
114	Angaman Islands	Andaman	Location	Murray
115	Angamanain			Yule
116	Angan			Yule
117	Angkor			Yule
118	Ani in Armenia			Yule
119	Animal Patterns			Yule
120	Anin			Yule
121	Annals of the Indo–Chinese States			Yule
122	Anselmo			Yule
123	Antioch			Yule
124	Antongil Bay			Yule
125	Anár			Yule
126	Aotonomoff			Yule
127	Apples of Paradise	Konars		Yule
128	Apricots			Yule
129	Apushka	Apusca		Yule
130	Arab geography			Yule
131	Arababni			Yule
132	Arabi	Arabs		Yule
133	Arabia			Yule
134	Arabic character			Yule
135	Arakan			Yule
136	Aram	Harám		Yule
137	Ararat		Location	Murray,Yule
138	Arblasts			Yule
139	Arbre Sol			Yule
140	Arcali			Yule
141	Architectural remains in Indo–China			Yule
142	Ardeshír			Yule
143	Ardeshír Bábekán			Yule
144	Areca			Yule
145	Arezzo			Yule
146	Argaeus			Yule
147	Argali			Yule
148	Arghún			Yule
149	Argiron	Erzeroum	Location	Murray
150	Argon		Person	Murray
151	Argons	Arghún		Yule
152	Arii			Yule
153	Arikbuga			Yule
154	Arimaspia			Yule
155	Arimaspian gold			Yule
156	Ariora–Keshimur			Yule
157	Ariosto			Yule
158	Aripo			Yule
159	Aristotle			Yule
160	Arjish	Arzizi		Yule
161	Arkasun Noian			Yule
162	Armenia			Yule
163	Armenia the Greater		Location	Murray
164	Armenia the Lesser		Location	Murray
165	Armenian Christians			Yule
166	Armenians			Yule
167	Armillary Zodiacal Sphere			Yule
168	Armour of boiled leather			Yule
169	Arms of Kerman			Yule
170	Arredon 			Yule
171	Arrow Divination			Yule
172	Arrows			Yule
173	Artacki			Yule
174	Arts			Yule
175	Aru			Yule
176	Arucki			Yule
177	Aruk			Yule
178	Arulun Tsaghan Balghasun	Chagan–Nor		Yule
179	Arya Chakravarti			Yule
180	Aryavartta			Yule
181	Arzinga		Location	Murray,Yule
182	Arziron	Erzrum		Yule
183	Arzizi	Arjísh		Yule
184	Asbestos			Yule
185	Ascelin		Person	Murray
186	Asceticism of the Sensin			Yule
187	Asedin Soldan 	Ghaiassuddin Balban		Yule
188	Ashar 	Asciar		Yule
189	Ashishin			Yule
190	Ashod			Yule
191	Ashurada			Yule
192	Asikan			Yule
193	Asoka			Yule
194	Assai 			Yule
195	Assassins	Ashishin		Yule
196	Asses			Yule
197	Asterius			Yule
198	Astrakhan	Gittarchan		Yule
199	Astrolabe			Yule
200	Astrology			Yule
201	Astronomical instruments			Yule
202	Atabegs			Yule
203	Atjeh			Yule
204	Atkinson’s Narratives			Yule
205	Atlas			Yule
206	Attalus			Yule
207	At–Thaibi family			Yule
208	Auberoche			Yule
209	Audh	Oudh		Yule
210	Aufat			Yule
211	Augury			Yule
212	Aung Khan	Unc Can		Yule
213	Aurangzib			Yule
214	Aurora			Yule
215	Aussa			Yule
216	Avarian			Yule
217	Avebury			Yule
218	Avicenna’s classification of Iron			Yule
219	Axum			Yule
220	Ayas	Layas		Yule
221	Ayuthia			Yule
222	Azure			Yule
223	Aás			Yule
224	Aëtius			Yule
225	Baatau		Person	Murray
226	Baba Buzurg			Yule
227	Baber			Yule
228	Baboons			Yule
229	Babylon			Yule
230	Babylonish garments			Yule
231	Baccanor			Yule
232	Bacon			Yule
233	Bacsi			Yule
234	Bactria			Yule
235	Bacu			Yule
236	Badakhshan	Badashan		Yule
237	Badascia 	Badakshan	Location	Murray
238	Badger			Yule
239	Badghís			Yule
240	Badruddín Lú-lú			Yule
241	Badáún			Yule
242	Bagdad		Location	Murray
243	Baghdad	Baudas		Yule
244	Bagratidae			Yule
245	Bagration–Mukransky			Yule
246	Bahar			Yule
247	Bahrein			Yule
248	Bahrámábád			Yule
249	Bahránjird Village			Yule
250	Bahá-uddin Ayaz			Yule
251	Bahá-ul-hakh			Yule
252	Bahárak			Yule
253	Baiberdon			Yule
254	Baiburt	Paipurth		Yule
255	Baidu Khan			Yule
256	Bailo			Yule
257	Baiothony		Person	Murray
258	Bakhshi	Bacsi		Yule
259	Bakhtyáris of Luristán			Yule
260	Baksi		Person	Murray
261	Baku		Location	Murray,Yule
262	Balas rubies			Yule
263	Bala–Sagun			Yule
264	Baldac			Yule
