	Entity Name	Alternative Name	Tag	Reference
0	ABASCIA	Abyssinia	Location	Murray
1	Abacan		Person	Yule
2	Abaji		Person	Yule
3	Abaka	Abaga	Person	Yule
4	Abano		Person	Yule
5	Abash	Habsh	Location	Yule
6	Abba Gregory		No	Yule
7	Abbott		No	Yule
8	Abdul Kuri Mejid		No	Yule
9	Abdul Kuri islands		Location	Yule
10	Abher		No	Yule
11	Abnús		No	Yule
12	Abraha		Person	Yule
13	Abraiaman		No	Yule
14	Abu Nasr Mohammed IX		Person	Yule
15	Abubakr		No	Yule
16	Abulfeda		Person	Yule
17	Abulfiez Khan		Person	Yule
18	Abul Abbas Ahmed VII		Person	Yule
19	Abyssinia	Abash	Location	Yule
20	Acbalec 	Acbaluc ,Cheng-ting fu	No	Yule
21	Acbalec Manzi		Location	Yule
22	Accambale		Person	Yule
23	Achalech-Manji		Location	Murray
24	Achar		No	Yule
25	Achin		Location	Yule
26	Achmac		Person	Murray
27	Achmath		No	Yule
28	Acomat		Person	Murray
29	Acomat Soldan	Ahmad Sultan	Person	Yule
30	Acorn bread		No	Yule
31	Acqui		Person	Yule
32	Acre		Location	Murray,Yule
33	Adam		Person	Yule
34	Adam's Peak		Location	Murray
35	Adamodana		Location	Yule
36	Adams Apple		No	Yule
37	Adel		No	Yule
38	Aden		Location	Murray,Yule
39	Adoration of the Emperor		No	Yule
40	Aegae		No	Yule
41	Aepyornis and its eggs		No	Yule
42	Afghans		No	Yule
43	Africa		Location	Yule
44	Agassiz		No	Yule
45	Agathocles		No	Yule
46	Agha Ali Sháh		No	Yule
47	Aghrukji	Ukuruji	No	Yule
48	Agricola		No	Yule
49	Aguil		No	Yule
50	Ahmad	Achmath	Person	Yule
51	Ahwaz		No	Yule
52	Ai-lao 	 Nan-chao	No	Yule
53	Aidhab		No	Yule
54	Aidhej		No	Yule
55	Aijaruc		Person	Yule
56	Aikah Nowin		Person	Yule
57	Ajmir		No	Yule
58	Ak Bulák salt mines		No	Yule
59	Ak-khoja		No	Yule
60	Akbar and Kúblái		No	Yule
61	Akhaltziké	Western Georgia	Location	Yule
62	Akhtuba River		Location	Yule
63	Aksarai		Location	Yule
64	Aksu River		Location	Yule
65	Aktár		No	Yule
66	Aktásh Valley		Location	Yule
67	Al Biruni		No	Yule
68	Alacou		Person	Yule
69	Alamút		Location	Yule
70	Alan country		Location	Yule
71	Alans		No	Yule
                                                                                                                                                                                                                                                                                                                                                                                    	Alaone		No	Yule
74	Alarm Tower		Location	Yule
75	Alau	the old Man of the Mountain,Hookalu	Person	Murray,Yule
76	Albenigaras		No	Yule
77	Alboquerque		No	Yule
78	Alchemy		No	Yule
79	Aleppo		No	Yule
80	Alexander III		Person	Yule
81	Alexander IV		Person	Yule
82	Alexander the Great		Person	Yule
83	Alexandria		Location	Yule
84	Alidada		No	Yule
85	Alihaiya		No	Yule
86	Alinak		No	Yule
87	Alligator		No	Yule
88	Almalik		No	Yule
89	Almanacs		No	Yule
90	Almonds		No	Yule
91	Aloes		No	Yule
92	Altai		Location	Murray,Yule
93	AltunKhan		Person	Yule
94	AlRamni		No	Yule
95	Aláuddin	Alaodin	Person	Yule
96	Amazons		No	Yule
